row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,,,,,
,,,Giá trị,Đã nhận,Phân loại lạivay dài hạnđến hạn trả,Chênh lệch tỷ giá,Giá trị,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,666.792.977.020,1.319.167.289.000,(573.298.039.126),20.274.561.597,1.432.936.788.491,666792977020.0,1319167289000.0,-573298039126.0,20274561597.0,1432936788491.0
