row_label_raw,row_label_full,5.19.2 Chi tiết vốn đầu tư của Ngân hàng,5.19.2 Chi tiết vốn đầu tư của Ngân hàng_1,5.19.2 Chi tiết vốn đầu tư của Ngân hàng_2,5.19.2 Chi tiết vốn đầu tư của Ngân hàng_3,5.19.2 Chi tiết vốn đầu tư của Ngân hàng_4,5.19.2 Chi tiết vốn đầu tư của Ngân hàng_5,5.19.2 Chi tiết vốn đầu tư của Ngân hàng_6,numeric__5.19.2 Chi tiết vốn đầu tư của Ngân hàng_1,numeric__5.19.2 Chi tiết vốn đầu tư của Ngân hàng_2,numeric__5.19.2 Chi tiết vốn đầu tư của Ngân hàng_3,numeric__5.19.2 Chi tiết vốn đầu tư của Ngân hàng_4,numeric__5.19.2 Chi tiết vốn đầu tư của Ngân hàng_5,numeric__5.19.2 Chi tiết vốn đầu tư của Ngân hàng_6
,,,Tổng sốTriệu VND,31/12/2025Vốn CP thườngTriệu VND,Vốn CP ưu đãiTriệu VND,Tổng sốTriệu VND,31/12/2024Vốn CP thườngTriệu VND,Vốn CP ưu đãiTriệu VND,,,,,,
Vốn góp các cổ đông,Vốn góp các cổ đông,Vốn góp các cổ đông,10.032.190,10.032.190,-,8.959.336,8.959.336,-,10032190.0,10032190.0,,8959336.0,8959336.0,
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,107.076,107.076,-,107.289,107.289,-,107076.0,107076.0,,107289.0,107289.0,
,,,10.139.266,10.139.266,-,9.066.625,9.066.625,-,10139266.0,10139266.0,,9066625.0,9066625.0,
5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,5.19.3 Cổ phiếu,,,,,,
,,,,,,,31/12/2025,31/12/2024,,,,,,
Số lượng cổ phiếu đăng ký phát hành,5.19.3 Cổ phiếu > Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,,,,,1.003.219.052,895.933.642,,,,,1003219052.0,895933642.0
Số lượng cổ phiếu đã bán ra công chúng,5.19.3 Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,,,,,1.003.219.052,895.933.642,,,,,1003219052.0,895933642.0
Cổ phiếu phổ thông,5.19.3 Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,,,,,1.003.219.052,895.933.642,,,,,1003219052.0,895933642.0
Số lượng cổ phiếu đang lưu hành,5.19.3 Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,,,,,1.003.219.052,895.933.642,,,,,1003219052.0,895933642.0
Cổ phiếu phổ thông,5.19.3 Cổ phiếu > Cổ phiếu phổ thông,Cổ phiếu phổ thông,,,,,1.003.219.052,895.933.642,,,,,1003219052.0,895933642.0
Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 VND/ cổ phiếu,,,,,,
