row_label_raw,row_label_full,Số cổ phiếu bình quân lưu hành đầu năm > Ảnh hưởng của cổ phiếu phổ thông do tăng vốn từ phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế năm 2023 (ii) > Ảnh hưởng của cổ phiếu phổ thông do tăng vốn từ phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế năm 2024 (ii),Số cổ phiếu bình quân lưu hành đầu năm > Ảnh hưởng của cổ phiếu phổ thông do tăng vốn từ phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế năm 2023 (ii) > Ảnh hưởng của cổ phiếu phổ thông do tăng vốn từ phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế năm 2024 (ii)_1,Năm 2025 > 1.026.942.992 > -,Năm 2024 > 895.933.642 > 62.088.201 > 68.921.149,numeric__Số cổ phiếu bình quân lưu hành đầu năm > Ảnh hưởng của cổ phiếu phổ thông do tăng vốn từ phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế năm 2023 (ii) > Ảnh hưởng của cổ phiếu phổ thông do tăng vốn từ phát hành cổ phiếu để trả cổ tức từ lợi nhuận sau thuế năm 2024 (ii)_1,numeric__Năm 2025 > 1.026.942.992 > -,numeric__Năm 2024 > 895.933.642 > 62.088.201 > 68.921.149
Ảnh hưởng của cổ phiếu phổ thông do thay đổi vốn do phát hành cổ phiếu cho cổ đông hiện hữu,Ảnh hưởng của cổ phiếu phổ thông do thay đổi vốn do phát hành cổ phiếu cho cổ đông hiện hữu,Ảnh hưởng của cổ phiếu phổ thông do thay đổi vốn do phát hành cổ phiếu cho cổ đông hiện hữu,Ảnh hưởng của cổ phiếu phổ thông do thay đổi vốn do phát hành cổ phiếu cho cổ đông hiện hữu,45.197.209,-,,45197209.0,
Cổ phiếu phổ thông đang lưu hành bình quân trong năm (iii),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (iii),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (iii),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (iii),1.042.545.316,1.026.942.992,,1042545316.0,1026942992.0
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Năm 2024 trước điều chỉnh,Điều chỉnh,Năm 2024 Sau điều chỉnh,,,
Lãi cơ bản trên cổ phiếu,Chỉ tiêu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.129,(242),887,1129.0,-242.0,887.0
