row_label_raw,row_label_full,STT,Chì tiêu,Thuyết minh,31/12/2025Triệu VND,31/12/2024Triệu VND,numeric__Chì tiêu,numeric__Thuyết minh,numeric__31/12/2025Triệu VND,numeric__31/12/2024Triệu VND
B,B,B,Nợ phải trả và vốn chủ sở hữu,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,5.13,1.022.424,7.504,,513.0,1022424.0,7504.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,1.022.424,7.504,,,1022424.0,7504.0
II,B > II,II,Tiền gửi và vay các TCTD khác,5.14,25.357.302,11.881.039,,514.0,25357302.0,11881039.0
1,B > 1,1,Tiền gửi của các TCTD khác,,25.125.705,11.776.283,,,25125705.0,11776283.0
2,B > 2,2,Vay các TCTD khác,,231.597,104.756,,,231597.0,104756.0
III,B > III,III,Tiền gửi của khách hàng,5.15,127.023.635,122.549.687,,515.0,127023635.0,122549687.0
IV,B > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",5.16,63.579,25.652,,516.0,63579.0,25652.0
V,B > V,V,Phát hành giấy tờ có giá,5.17,24.900.355,16.020.800,,517.0,24900355.0,16020800.0
VI,B > VI,VI,Các khoản nợ khác,,4.144.103,3.219.561,,,4144103.0,3219561.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,3.390.419,2.456.206,,,3390419.0,2456206.0
2,B > 2,2,Các khoản phải trả và công nợ khác,5.18,753.684,763.355,,518.0,753684.0,763355.0
,,,Tổng nợ phải trả,,182.511.398,153.704.243,,,182511398.0,153704243.0
VII,B > VII,VII,Vốn và các quỹ,5.19,13.308.904,11.782.450,,519.0,13308904.0,11782450.0
1,B > 1,1,Vốn của TCTD,,10.139.266,9.066.625,,,10139266.0,9066625.0
a,B > a,a,Vốn điều lệ,,10.032.190,8.959.336,,,10032190.0,8959336.0
b,B > b,b,Thặng dư vốn cổ phần,,107.076,107.289,,,107076.0,107289.0
2,B > 2,2,Quỹ của TCTD,,1.245.308,1.045.470,,,1245308.0,1045470.0
3,B > 3,3,Lợi nhuận chưa phân phối/Lỗ lũy kế,,1.924.330,1.670.355,,,1924330.0,1670355.0
,,,Tổng nợ phải trả và vốn chủ sở hữu,,195.820.302,165.486.693,,,195820302.0,165486693.0
