row_label_raw,row_label_full,col_0,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
Lãi thuần từ dịch vụ thanh toán,Lãi thuần từ dịch vụ thanh toán,Lãi thuần từ dịch vụ thanh toán,15.728,15.765,15728.0,15765.0
+ Thu từ dịch vụ thanh toán,+ Thu từ dịch vụ thanh toán,+ Thu từ dịch vụ thanh toán,37.509,34.750,37509.0,34750.0
+ Chi về dịch vụ thanh toán,+ Chi về dịch vụ thanh toán,+ Chi về dịch vụ thanh toán,21.781,18.985,21781.0,18985.0
Lỗ thuần từ dịch vụ ngân quỹ,Lỗ thuần từ dịch vụ ngân quỹ,Lỗ thuần từ dịch vụ ngân quỹ,(3.082),(3.267),-3082.0,-3267.0
+ Thu từ dịch vụ ngân quỹ,+ Thu từ dịch vụ ngân quỹ,+ Thu từ dịch vụ ngân quỹ,1.504,1.241,1504.0,1241.0
+ Chi từ dịch vụ ngân quỹ,+ Chi từ dịch vụ ngân quỹ,+ Chi từ dịch vụ ngân quỹ,4.586,4.508,4586.0,4508.0
Lãi thuần từ hoạt động ủy thác và đại lý,Lãi thuần từ hoạt động ủy thác và đại lý,Lãi thuần từ hoạt động ủy thác và đại lý,61.782,39.517,61782.0,39517.0
+ Thu từ hoạt động ủy thác và đại lý,+ Thu từ hoạt động ủy thác và đại lý,+ Thu từ hoạt động ủy thác và đại lý,67.831,41.951,67831.0,41951.0
+ Chi từ hoạt động ủy thác và đại lý,+ Chi từ hoạt động ủy thác và đại lý,+ Chi từ hoạt động ủy thác và đại lý,6.049,2.434,6049.0,2434.0
Lãi/ (Lỗ) thuần từ hoạt động tư vấn,Lãi/ (Lỗ) thuần từ hoạt động tư vấn,Lãi/ (Lỗ) thuần từ hoạt động tư vấn,32.919,(842),32919.0,-842.0
+ Thu từ hoạt động tư vấn,+ Thu từ hoạt động tư vấn,+ Thu từ hoạt động tư vấn,33.636,4.861,33636.0,4861.0
+ Chi từ hoạt động tư vấn,+ Chi từ hoạt động tư vấn,+ Chi từ hoạt động tư vấn,717,5.703,717.0,5703.0
Lãi thuần từ hoạt động dịch vụ khác,Lãi thuần từ hoạt động dịch vụ khác,Lãi thuần từ hoạt động dịch vụ khác,73.818,54.408,73818.0,54408.0
+ Thu từ hoạt động dịch vụ khác,+ Thu từ hoạt động dịch vụ khác,+ Thu từ hoạt động dịch vụ khác,99.476,67.211,99476.0,67211.0
+ Chi từ hoạt động dịch vụ khác,+ Chi từ hoạt động dịch vụ khác,+ Chi từ hoạt động dịch vụ khác,25.658,12.803,25658.0,12803.0
,,,181.165,105.581,181165.0,105581.0
