row_label_raw,row_label_full,col_0,31/12/2025Triệu VND,31/12/2024Triệu VND,numeric__31/12/2025Triệu VND,numeric__31/12/2024Triệu VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,4.465.097,3.433.196,4465097.0,3433196.0
Bằng VND,Bằng VND,Bằng VND,4.342.903,3.383.366,4342903.0,3383366.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,122.194,49.830,122194.0,49830.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,122.338.077,118.967.213,122338077.0,118967213.0
Bằng VND,Bằng VND,Bằng VND,122.250.890,118.893.338,122250890.0,118893338.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,87.187,73.875,87187.0,73875.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,29,27,29.0,27.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,29,27,29.0,27.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,220.432,149.251,220432.0,149251.0
Bằng VND,Bằng VND,Bằng VND,217.064,148.922,217064.0,148922.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,3.368,329,3368.0,329.0
,,,127.023.635,122.549.687,127023635.0,122549687.0
