row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay, kinh doanh chứng khoán nợ","Huy động vốn và cho vay, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Hoạt động khác,Hoạt động khác_1,Hoạt động chứng không phân bổ,Hoạt động chứng không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Hoạt động khác,numeric__Hoạt động khác_1,numeric__Hoạt động chứng không phân bổ,numeric__Hoạt động chứng không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,,,,,,,,,,
I. Thu nhập,I. Thu nhập,I. Thu nhập,13.693.932,12.098.605,53.838,12.638,638.427,505.690,-,-,14.386.197,12.616.933,13693932.0,12098605.0,53838.0,12638.0,638427.0,505690.0,,,14386197.0,12616933.0
1. Thu nhập từ lãi,1. Thu nhập từ lãi,1. Thu nhập từ lãi,13.497.850,11.784.427,-,-,58.879,27.686,-,-,13.556.729,11.812.113,13497850.0,11784427.0,,,58879.0,27686.0,,,13556729.0,11812113.0
2. Thu nhập từ hoạt động đầu tư,2. Thu nhập từ hoạt động đầu tư,2. Thu nhập từ hoạt động đầu tư,196.082,314.178,53.838,12.638,-,-,-,-,249.920,326.816,196082.0,314178.0,53838.0,12638.0,,,,,249920.0,326816.0
3. Thu nhập từ hoạt động khác,3. Thu nhập từ hoạt động khác,3. Thu nhập từ hoạt động khác,-,-,-,-,579.548,478.004,-,-,579.548,478.004,,,,,579548.0,478004.0,,,579548.0,478004.0
II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,10.127.135,8.521.405,-,-,223.102,434.565,2.320.344,2.249.272,12.670.581,11.205.242,10127135.0,8521405.0,,,223102.0,434565.0,2320344.0,2249272.0,12670581.0,11205242.0
1. Chỉ phí lãi và các chỉ phí tương tự,1. Chỉ phí lãi và các chỉ phí tương tự,1. Chỉ phí lãi và các chỉ phí tương tự,10.109.831,8.490.903,-,-,-,-,-,-,10.109.831,8.490.903,10109831.0,8490903.0,,,,,,,10109831.0,8490903.0
2. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,2. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,2. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,17.304,30.502,-,-,223.102,434.565,2.267.047,2.198.274,2.507.453,2.663.341,17304.0,30502.0,,,223102.0,434565.0,2267047.0,2198274.0,2507453.0,2663341.0
3. Chỉ phí khấu hao TSCĐ,3. Chỉ phí khấu hao TSCĐ,3. Chỉ phí khấu hao TSCĐ,-,-,-,-,-,-,53.297,50.998,53.297,50.998,,,,,,,53297.0,50998.0,53297.0,50998.0
Kết quả kinh doanh bộ phận trước dự phòng,Kết quả kinh doanh bộ phận trước dự phòng,Kết quả kinh doanh bộ phận trước dự phòng,3.566.797,3.577.200,53.838,12.638,415.325,71.125,(2.320.344),(2.249.272),1.715.616,1.411.691,3566797.0,3577200.0,53838.0,12638.0,415325.0,71125.0,-2320344.0,-2249272.0,1715616.0,1411691.0
1. Chỉ phí dự phòng rủi ro tín dụng,1. Chỉ phí dự phòng rủi ro tín dụng,1. Chỉ phí dự phòng rủi ro tín dụng,242.047,151.413,-,-,-,-,-,-,242.047,151.413,242047.0,151413.0,,,,,,,242047.0,151413.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,3.324.750,3.425.787,53.838,12.638,415.325,71.125,(2.320.344),(2.249.272),1.473.569,1.260.278,3324750.0,3425787.0,53838.0,12638.0,415325.0,71125.0,-2320344.0,-2249272.0,1473569.0,1260278.0
