row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đãnTriệu VND","Thiết bị,dụng cụquản lýTriệu VND",CộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đãnTriệu VND","numeric__Thiết bị,dụng cụquản lýTriệu VND",numeric__CộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 31/12/2024,Nguyên giá > Tại ngày 31/12/2024,Tại ngày 31/12/2024,62.663,257.595,138.902,59.370,518.530,62663.0,257595.0,138902.0,59370.0,518530.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,2.803,7.415,16.778,6.438,33.434,2803.0,7415.0,16778.0,6438.0,33434.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(204),(332),(676),(1.039),(2.251),-204.0,-332.0,-676.0,-1039.0,-2251.0
Tại ngày 31/12/2025,Nguyên giá > Tại ngày 31/12/2025,Tại ngày 31/12/2025,65.262,264.678,155.004,64.769,549.713,65262.0,264678.0,155004.0,64769.0,549713.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 31/12/2024,Giá trị hao mòn lũy kế > Tại ngày 31/12/2024,Tại ngày 31/12/2024,35.977,177.428,84.768,48.698,346.871,35977.0,177428.0,84768.0,48698.0,346871.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.444,19.448,11.066,4.455,37.413,2444.0,19448.0,11066.0,4455.0,37413.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(154),(330),(636),(1.039),(2.159),-154.0,-330.0,-636.0,-1039.0,-2159.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế > Tại ngày 31/12/2025,Tại ngày 31/12/2025,38.267,196.546,95.198,52.114,382.125,38267.0,196546.0,95198.0,52114.0,382125.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 31/12/2024,Giá trị còn lại > Tại ngày 31/12/2024,Tại ngày 31/12/2024,26.686,80.167,54.134,10.672,171.659,26686.0,80167.0,54134.0,10672.0,171659.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,26.995,68.132,59.806,12.655,167.588,26995.0,68132.0,59806.0,12655.0,167588.0
Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng:,,,,,
Tại ngày 31/12/2024,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng: > Tại ngày 31/12/2024,Tại ngày 31/12/2024,,,,,197.591,,,,,197591.0
Tại ngày 31/12/2025,Nguyên giá tài sản cố định hữu hình đã khấu hao hết nhượng vấn còn sử dụng: > Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,,229.393,,,,,229393.0
