row_label_raw,row_label_full,STT,Chì tiêu,Thuyết minh,Năm 2025 > Triệu VND,Năm 2024 > Triệu VND,numeric__Chì tiêu,numeric__Thuyết minh,numeric__Năm 2025 > Triệu VND,numeric__Năm 2024 > Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1,1,1,Mua sắm TSCĐ,,(35.353),(51.776),,,-35353.0,-51776.0
2,2,2,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,245,137,,,245.0,137.0
3,3,3,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,-,(5.260),,,,-5260.0
4,4,4,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,53.838,12.638,,,53838.0,12638.0
II,II,II,Lưu chuyển tiền thuần từ hoạt động đầu tư,,18.730,(44.261),,,18730.0,-44261.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1,1,1,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,451.759,-,,,451759.0,
2,2,2,Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,1.500.000,3.500.000,,,1500000.0,3500000.0
3,3,3,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(2.464.016),(263.290),,,-2464016.0,-263290.0
III,III,III,Lưu chuyển tiền thuần từ hoạt động tài chính,,(512.257),3.236.710,,,-512257.0,3236710.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,,13.753.856,(437.215),,,13753856.0,-437215.0
V,V,V,Tiền và các khoản tương đương tiền đầu năm,,14.769.109,15.206.324,,,14769109.0,15206324.0
VI,VI,VI,Điều chỉnh của ảnh hưởng thay đổi tỷ giá,,-,-,,,,
VII,VI > VII,VII,Tiền và các khoản tương đương tiền cuối năm,7,28.522.965,14.769.109,,7.0,28522965.0,14769109.0
