row_label_raw,row_label_full,1,Bảo lãnh vay vốn,1.725.776,1.188.176,numeric__Bảo lãnh vay vốn,numeric__1.725.776,numeric__1.188.176
2,2,2,Cam kết giao dịch hối đoái,176.322.901,96.172.077,,176322901.0,96172077.0
a,a,a,Cam kết mua ngoại tệ,21.801.000,16.809.800,,21801000.0,16809800.0
b,b,b,Cam kết bán ngoại tệ,23.245.800,6.759.800,,23245800.0,6759800.0
c,c,c,Cam kết giao dịch hoán đổi,131.276.101,72.602.477,,131276101.0,72602477.0
3,3,3,Cam kết cho vay không hủy ngang,2.235.876,1.330.645,,2235876.0,1330645.0
4,4,4,Bảo lãnh khác,3.037.327,1.221.016,,3037327.0,1221016.0
5,5,5,Lãi cho vay và phí phải thu chưa thu được,685.408,692.361,,685408.0,692361.0
6,6,6,Nợ khó đòi đã xử lý,2.430.901,2.488.783,,2430901.0,2488783.0
