row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,226,10.082,2.746,13.054,226.0,10082.0,2746.0,13054.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,581,810,1.391,,581.0,810.0,1391.0
Chuyển sang chi phí trả trướcngắn hạn,Nguyên giá > Chuyển sang chi phí trả trướcngắn hạn,Chuyển sang chi phí trả trướcngắn hạn,-,(122),-,(122),,-122.0,,-122.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(236),-,(236),,-236.0,,-236.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,226,10.305,3.556,14.087,226.0,10305.0,3556.0,14087.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,184,2.086,520,2.790,184.0,2086.0,520.0,2790.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,41,2.422,368,2.831,41.0,2422.0,368.0,2831.0
Chuyển sang chi phí trả trướcngắn hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trướcngắn hạn,Chuyển sang chi phí trả trướcngắn hạn,-,(68),-,(68),,-68.0,,-68.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(125),-,(125),,-125.0,,-125.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,225,4.315,888,5.428,225.0,4315.0,888.0,5428.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,42,7.996,2.226,10.264,42.0,7996.0,2226.0,10264.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1,5.990,2.668,8.659,1.0,5990.0,2668.0,8659.0
