row_label_raw,row_label_full,col_0,"Quyền sử dụng đất và nhà cửa, vật kiến trúc Triệu VND",Máy móc và thiết bị Triệu VND,Tổng cộng Triệu VND,"numeric__Quyền sử dụng đất và nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc và thiết bị Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.667.683,1.024.366,4.692.049,3667683.0,1024366.0,4692049.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,218.340,74.351,292.691,218340.0,74351.0,292691.0
Tăng tại thời điểm quyết toán,Nguyên giá > Tăng tại thời điểm quyết toán,Tăng tại thời điểm quyết toán,183.593,11.126,194.719,183593.0,11126.0,194719.0
Chuyển sang chi phí trả trước,Nguyên giá > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(2.514),-,(2.514),-2514.0,,-2514.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(4.373),(1.267),(5.640),-4373.0,-1267.0,-5640.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.062.729,1.108.576,5.171.305,4062729.0,1108576.0,5171305.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,266.039,157.423,423.462,266039.0,157423.0,423462.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,114.783,90.093,204.876,114783.0,90093.0,204876.0
Chuyển sang chi phí trả trước,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(232),-,(232),-232.0,,-232.0
Chuyển sang hàng tồn kho,Giá trị hao mòn lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(677),(369),(1.046),-677.0,-369.0,-1046.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,379.913,247.147,627.060,379913.0,247147.0,627060.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.401.644,866.943,4.268.587,3401644.0,866943.0,4268587.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.682.816,861.429,4.544.245,3682816.0,861429.0,4544245.0
