row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị có thể thu hồi,Ngày 31 tháng 12 năm 2021 > Giá gốc,Ngày 31 tháng 12 năm 2021 > Giá trị có thể thu hồi,numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị có thể thu hồi,numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị có thể thu hồi
Dự án Bảo Đại,Dự án Bảo Đại,Dự án Bảo Đại,36.910.628.928,36.910.628.928,36.422.393.378,36.422.393.378,36910628928.0,36910628928.0,36422393378.0,36422393378.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,36.910.628.928,36.910.628.928,36.422.393.378,36.422.393.378,36910628928.0,36910628928.0,36422393378.0,36422393378.0
