row_label_raw,row_label_full,col_0,Quyền đầu tư dự ánthủy điện (*),Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VNDTổng cộng,numeric__Quyền đầu tư dự ánthủy điện (*),numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,220.000.000.000,187.790.002.079,2.538.654.500,410.328.656.579,220000000000.0,187790002079.0,2538654500.0,410328656579.0
- Xây dựng hoàn thành,Nguyên giá: > - Xây dựng hoàn thành,- Xây dựng hoàn thành,-,10.036.154.480,-,10.036.154.480,,10036154480.0,,10036154480.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,220.000.000.000,197.826.156.559,2.538.654.500,420.364.811.059,220000000000.0,197826156559.0,2538654500.0,420364811059.0
Trong đóĐã khấu hao hết:,Nguyên giá: > Trong đóĐã khấu hao hết:,Trong đóĐã khấu hao hết:,-,-,723.354.500,723.354.500,,,723354500.0,723354500.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,2.178.459.478,3.927.756.658,1.697.543.470,7.803.759.606,2178459478.0,3927756658.0,1697543470.0,7803759606.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,8.713.837.911,8.324.515.185,308.765.648,17.347.118.744,8713837911.0,8324515185.0,308765648.0,17347118744.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,10.892.297.389,12.252.271.843,2.006.309.118,25.150.878.350,10892297389.0,12252271843.0,2006309118.0,25150878350.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,217.821.540.522,183.862.245.421,841.111.030,402.524.896.973,217821540522.0,183862245421.0,841111030.0,402524896973.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,209.107.702.611,185.573.884.716,532.345.382,395.213.932.709,209107702611.0,185573884716.0,532345382.0,395213932709.0
