row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),numeric__Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2)
Nguyễn Văn Tô,Nguyễn Văn Tô,Nguyễn Văn Tô,Ủy viên HĐQT,Trả trước tiền mua bất động sản,3.187.386.378,3.187.386.378,,,3187386378.0,3187386378.0
Hoàng Đình Hùng,Hoàng Đình Hùng,Hoàng Đình Hùng,Ủy viên HĐQT,Trả trước tiền mua bất động sản,2.243.315.848,2.243.315.848,,,2243315848.0,2243315848.0
Trần Tiến Dũng,Trần Tiến Dũng,Trần Tiến Dũng,Phó Tổng Giám đốc,Trả trước tiền mua bất động sản,3.201.989.175,3.201.989.175,,,3201989175.0,3201989175.0
Lê Xuân Long,Lê Xuân Long,Lê Xuân Long,Phó Tổng Giám đốc,Trả trước tiền mua bất động sản,2.065.020.474,2.065.020.474,,,2065020474.0,2065020474.0
Đào Hữu Khanh,Đào Hữu Khanh,Đào Hữu Khanh,Ủy viên HĐQT,Trả trước tiền mua bất động sản,-,5.745.813.125,,,,5745813125.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.697.711.875,16.443.525.000,,,10697711875.0,16443525000.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Công ty Cổ phần Đầu tư An Lạc,Chi phí phải trả ngắn hạn > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Phải trả lãi vay,4.569.862.887,4.112.876.712,,,4569862887.0,4112876712.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.569.862.887,4.112.876.712,,,4569862887.0,4112876712.0
Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),,,,
Công ty Cổ phần Đầu tư An Lạc,Phải trả ngắn hạn khác (Thuyết minh số 18) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Cổ tức phải trả Phải trả khác,8.829.705.571148.244.000,17.642.520.938148.244.000,,,8.829705571148244e+18,1.7642520938148243e+19
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 18) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.977.949.571,17.790.764.938,,,8977949571.0,17790764938.0
