row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/cấn trừ trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp/cấn trừ trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,11.733.815.562,235.700.232.423,(239.835.189.291),7.598.858.694,11733815562.0,235700232423.0,-239835189291.0,7598858694.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,107.399.710.184,235.731.108.787,(253.168.239.340),89.962.579.631,107399710184.0,235731108787.0,-253168239340.0,89962579631.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.501.782.100,27.240.584.560,(18.177.227.330),11.565.139.330,2501782100.0,27240584560.0,-18177227330.0,11565139330.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,13.459.024.356,129.821.057.080,(128.509.712.531),14.770.368.905,13459024356.0,129821057080.0,-128509712531.0,14770368905.0
Thuế và các khoản phải nộp Nhà nước khác,Phải nộp > Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,58.400.878,14.868.390.307,(14.938.739.649),(11.948.464),58400878.0,14868390307.0,-14938739649.0,-11948464.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,135.152.733.080,643.361.373.157,(654.629.108.141),123.884.998.096,135152733080.0,643361373157.0,-654629108141.0,123884998096.0
,,,Số đầu năm,Số phải thu trong năm,Số cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,125.228.100.410,63.829.585.892,(128.357.843.665),60.699.842.637,125228100410.0,63829585892.0,-128357843665.0,60699842637.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,605.181.489,2.321.242.100,(622.055.828),2.304.367.761,605181489.0,2321242100.0,-622055828.0,2304367761.0
Thuế và các khoản phải thu Nhà nước khác,Phải thu > Thuế và các khoản phải thu Nhà nước khác,Thuế và các khoản phải thu Nhà nước khác,1.310.979.611,94.617.065,(1.026.286.904),379.309.772,1310979611.0,94617065.0,-1026286904.0,379309772.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,127.144.261.510,66.245.445.057,(130.006.186.397),63.383.520.170,127144261510.0,66245445057.0,-130006186397.0,63383520170.0
