row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư IP Việt Nam,Mối quan hệ > Công ty có chung thành viên HĐQT,Nội dung nghiệp vụ > Lãi vay phải trả > Lãi vay đã trả > Trả gốc vay,Năm nay > -,Năm trước > 2.821.506.850 > 4.795.736.987 > 57.000.000.000,numeric__Mối quan hệ > Công ty có chung thành viên HĐQT,numeric__Nội dung nghiệp vụ > Lãi vay phải trả > Lãi vay đã trả > Trả gốc vay,numeric__Năm nay > -,numeric__Năm trước > 2.821.506.850 > 4.795.736.987 > 57.000.000.000
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Lãi cho vay phải thu,-,1.292.008.000,,,,1292008000.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Bù trừ cổ tức phải trả và lãi cho vay,-,22.732.984.000,,,,22732984000.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Chia cổ tức,3.180.000.000,118.160.413.938,,,3180000000.0,118160413938.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Thu hồi cho vay,-,131.181.869.000,,,,131181869000.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Trả cổ tức bằng tiền,11.992.815.367,77.784.909.000,,,11992815367.0,77784909000.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Đi vay,-,487.000.000.000,,,,487000000000.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Thanh toán gốc vay,46.333.334.000,70.000.000.000,,,46333334000.0,70000000000.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Lãi vay phải trả,32.882.703.175,6.000.311.442,,,32882703175.0,6000311442.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Lãi vay đã trả,32.425.717.000,1.887.434.730,,,32425717000.0,1887434730.0
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Phí thuê mặt bằng phải trả,2.402.156.088,2.555.735.034,,,2402156088.0,2555735034.0
