row_label_raw,row_label_full,col_0,Kinh doanhbắt động sản,Sản xuất và kinhđộng cho thuê và cácdoanh điện,Kinh doanh hoạthoạt động khác,Điều chỉnh và loại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhbắt động sản,numeric__Sản xuất và kinhđộng cho thuê và cácdoanh điện,numeric__Kinh doanh hoạthoạt động khác,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu bán hàng nội bộ,Doanh thu > Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,-,554.839.859,122.956.520.554,(123.511.360.413),-,,554839859.0,122956520554.0,-123511360413.0,
Doanh thu từ bán hàng rabên ngoài,Doanh thu > Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,1.111.873.852.439,2.115.620.923.366,353.695.901.855,-,3.581.190.677.660,1111873852439.0,2115620923366.0,353695901855.0,,3581190677660.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.111.873.852.439,2.116.175.763.225,476.652.422.409,(123.511.360.413),3.581.190.677.660,1111873852439.0,2116175763225.0,476652422409.0,-123511360413.0,3581190677660.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận gộp trước thuế củabộ phận,Kết quả > Lợi nhuận gộp trước thuế củabộ phận,Lợi nhuận gộp trước thuế củabộ phận,555.875.909.945,1.520.049.592.566,180.111.857.902,(43.666.506.741),2.212.370.853.672,555875909945.0,1520049592566.0,180111857902.0,-43666506741.0,2212370853672.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),-,-,-,(444.259.435.894),(444.259.435.894),,,,-444259435894.0,-444259435894.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,446.624.253.769,1.456.320.800.559,189.402.383.355,(487.925.942.635),1.604.421.495.048,446624253769.0,1456320800559.0,189402383355.0,-487925942635.0,1604421495048.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,-,-,-,(242.518.093.252),(242.518.093.252),,,,-242518093252.0,-242518093252.0
Lợi nhuận/(lỗ) thuần sau thuế,Kết quả > Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,446.624.253.769,1.456.320.800.559,189.402.383.355,(730.444.035.887),1.361.903.401.796,446624253769.0,1456320800559.0,189402383355.0,-730444035887.0,1361903401796.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,2.218.293.041.424,10.061.372.032.918,1.765.986.482.350,-,14.045.651.556.692,2218293041424.0,10061372032918.0,1765986482350.0,,14045651556692.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),-,-,-,1.059.272.876.734,1.059.272.876.734,,,,1059272876734.0,1059272876734.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,2.218.293.041.424,10.061.372.032.918,1.765.986.482.350,1.059.272.876.734,15.104.924.433.426,2218293041424.0,10061372032918.0,1765986482350.0,1059272876734.0,15104924433426.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,1.778.245.178.558,153.816.357.156,100.535.310.521,-,2.032.596.846.235,1778245178558.0,153816357156.0,100535310521.0,,2032596846235.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),-,-,-,6.524.316.039.176,6.524.316.039.176,,,,6524316039176.0,6524316039176.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,1.778.245.178.558,153.816.357.156,100.535.310.521,6.524.316.039.176,8.556.912.885.411,1778245178558.0,153816357156.0,100535310521.0,6524316039176.0,8556912885411.0
