row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bất động sản xây dựng đề bán,Bất động sản xây dựng đề bán,Bất động sản xây dựng đề bán,1.343.563.169.523,10.224.200.764,1.314.750.134.657,-,1343563169523.0,10224200764.0,1314750134657.0,
- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,720.931.318.907,10.224.200.764,649.475.104.278,-,720931318907.0,10224200764.0,649475104278.0,
- Dự án Hà Đô Green Lane,- Dự án Hà Đô Green Lane,- Dự án Hà Đô Green Lane,292.765.778.115,-,292.644.720.459,-,292765778115.0,,292644720459.0,
"- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào","- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào","- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào",195.947.581.511,-,257.061.204.049,-,195947581511.0,,257061204049.0,
- Dự án Sư Vạn Hạnh,- Dự án Sư Vạn Hạnh,- Dự án Sư Vạn Hạnh,42.935.763.017,-,42.935.763.017,-,42935763017.0,,42935763017.0,
- Dự án Chung cư CC1 Dịch Vọng,- Dự án Chung cư CC1 Dịch Vọng,- Dự án Chung cư CC1 Dịch Vọng,41.481.993.854,-,41.481.993.854,-,41481993854.0,,41481993854.0,
- Các dự án khác,- Các dự án khác,- Các dự án khác,49.500.734.119,-,31.151.349.000,-,49500734119.0,,31151349000.0,
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,24.976.048.000,-,24.976.048.000,-,24976048000.0,,24976048000.0,
Thành phẩm bất động sản,Thành phẩm bất động sản,Thành phẩm bất động sản,6.524.845.299,-,6.524.845.299,-,6524845299.0,,6524845299.0,
Chỉ phí sản xuất kinh doanh dở dang,Chỉ phí sản xuất kinh doanh dở dang,Chỉ phí sản xuất kinh doanh dở dang,5.345.961.593,-,6.200.362.964,-,5345961593.0,,6200362964.0,
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,10.319.846.438,-,11.088.888.738,-,10319846438.0,,11088888738.0,
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,1.120.695.137,-,1.107.248.420,-,1120695137.0,,1107248420.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.391.850.565.990,10.224.200.764,1.364.647.528.078,-,1391850565990.0,10224200764.0,1364647528078.0,
