row_label_raw,row_label_full,Năm nay > Số đầu năm,Vốn cổ phần đã phát hành > Năm nay > 1.963.574.150.000,Thặng dư vốn cổ phần > Năm nay > 229.106.864.127,Chênh lệch tỷ giá hối đoái > Năm nay > (74.164.653.352),Quỹ đầu tư phát triển > Năm nay > 51.211.243.573,Vốn khác của chủ sở hữu > Năm nay > 230.397.934.814,Lợi nhuận sau thuế chưa phân phối > Năm nay > 1.933.558.155.754,Lợi ích của cổ đông không kiểm soát > Năm nay > 1.056.646.707.794,Đơn vị tính: VND Tổng cộng > Năm nay > 5.390.330.402.710,numeric__Vốn cổ phần đã phát hành > Năm nay > 1.963.574.150.000,numeric__Thặng dư vốn cổ phần > Năm nay > 229.106.864.127,numeric__Chênh lệch tỷ giá hối đoái > Năm nay > (74.164.653.352),numeric__Quỹ đầu tư phát triển > Năm nay > 51.211.243.573,numeric__Vốn khác của chủ sở hữu > Năm nay > 230.397.934.814,numeric__Lợi nhuận sau thuế chưa phân phối > Năm nay > 1.933.558.155.754,numeric__Lợi ích của cổ đông không kiểm soát > Năm nay > 1.056.646.707.794,numeric__Đơn vị tính: VND Tổng cộng > Năm nay > 5.390.330.402.710
- Góp vốn từ cổ đông không kiểm soát (i),- Góp vốn từ cổ đông không kiểm soát (i),- Góp vốn từ cổ đông không kiểm soát (i),-,-,-,-,-,-,20.000.000,20.000.000,,,,,,,20000000.0,20000000.0
- Hoàn nhập quỹ đầu tư phát triển (ii),- Hoàn nhập quỹ đầu tư phát triển (ii),- Hoàn nhập quỹ đầu tư phát triển (ii),-,-,-,(33.615.906.359),-,33.615.906.359,-,-,,,,-33615906359.0,,33615906359.0,,
- Phát hành cổ phiếu để thực hiện chứng quyền (iii),- Phát hành cổ phiếu để thực hiện chứng quyền (iii),- Phát hành cổ phiếu để thực hiện chứng quyền (iii),74.814.000.000,145.760.864.552,-,-,-,-,-,220.574.864.552,74814000000.0,145760864552.0,,,,,,220574864552.0
- Chia cổ tức bằng tiền (iv),- Chia cổ tức bằng tiền (iv),- Chia cổ tức bằng tiền (iv),-,-,-,-,-,(203.838.815.000),(72.124.218.477),(275.963.033.477),,,,,,-203838815000.0,-72124218477.0,-275963033477.0
- Chia cổ tức bằng cổ phiếu (v),- Chia cổ tức bằng cổ phiếu (v),- Chia cổ tức bằng cổ phiếu (v),407.670.830.000,-,-,-,57.464.130.000,(465.134.960.000),-,-,407670830000.0,,,,57464130000.0,-465134960000.0,,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,1.095.618.039.141,266.285.362.654,1.361.903.401.795,,,,,,1095618039141.0,266285362654.0,1361903401795.0
- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,-,-,(89.626.395.065),,,,,,,,-89626395065.0
- Mua thêm phần lợi ích của cổ đông không kiểm soát (vi),- Mua thêm phần lợi ích của cổ đông không kiểm soát (vi),- Mua thêm phần lợi ích của cổ đông không kiểm soát (vi),-,-,-,-,-,(30.015.800.462),(5.984.199.538),(36.000.000.000),,,,,,-30015800462.0,-5984199538.0,-36000000000.0
- Thủ lao HĐQT,- Thủ lao HĐQT,- Thủ lao HĐQT,-,-,-,-,-,(706.750.000),(68.942.500),(775.692.500),,,,,,-706750000.0,-68942500.0,-775692500.0
"- Trích quỹ khen thưởng, phúc lợi (vii)","- Trích quỹ khen thưởng, phúc lợi (vii)","- Trích quỹ khen thưởng, phúc lợi (vii)",-,-,-,-,-,(22.452.000.000),-,(22.452.000.000),,,,,,-22452000000.0,,-22452000000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.446.058.980.000,374.867.728.679,(163.791.048.417),17.595.337.214,287.862.064.814,2.340.643.775.792,1.244.774.709.933,6.548.011.548.015,2446058980000.0,374867728679.0,-163791048417.0,17595337214.0,287862064814.0,2340643775792.0,1244774709933.0,6548011548015.0
