row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.739.813.070.861,5.456.858.038.983,522.974.188.361,43.008.810.779,10.762.654.108.984,4739813070861.0,5456858038983.0,522974188361.0,43008810779.0,10762654108984.0
- Xây dựng hoàn thành,Nguyên giá: > - Xây dựng hoàn thành,- Xây dựng hoàn thành,3.324.332.056,92.406.211.687,1.400.941.270,-,97.131.485.013,3324332056.0,92406211687.0,1400941270.0,,97131485013.0
- Mua mới trong năm,Nguyên giá: > - Mua mới trong năm,- Mua mới trong năm,2.651.676.960,4.949.028.628,33.295.454,79.500.000,7.713.501.042,2651676960.0,4949028628.0,33295454.0,79500000.0,7713501042.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,-,-,(1.969.814.542),(642.011.039),(2.611.825.581),,,-1969814542.0,-642011039.0,-2611825581.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.745.789.079.877,5.554.213.279.298,522.438.610.543,42.446.299.740,10.864.887.269.458,4745789079877.0,5554213279298.0,522438610543.0,42446299740.0,10864887269458.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,11.840.604.414,5.888.950.566,8.349.397.220,5.031.431.258,31.110.383.458,11840604414.0,5888950566.0,8349397220.0,5031431258.0,31110383458.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,538.007.337.905,657.472.888.395,78.594.856.545,22.963.578.748,1.297.038.661.593,538007337905.0,657472888395.0,78594856545.0,22963578748.0,1297038661593.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,169.061.204.278,274.987.203.870,23.378.998.084,1.139.370.716,468.566.776.948,169061204278.0,274987203870.0,23378998084.0,1139370716.0,468566776948.0
- Giảm khác,Giá trị hao mòn lũy kế: > - Giảm khác,- Giảm khác,-,-,(191.447.982),(179.927.300),(371.375.282),,,-191447982.0,-179927300.0,-371375282.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,707.068.542.183,932.460.092.265,101.782.406.647,23.923.022.164,1.765.234.063.259,707068542183.0,932460092265.0,101782406647.0,23923022164.0,1765234063259.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,4.201.805.732.956,4.799.385.150.588,444.379.331.816,20.045.232.031,9.465.615.447.391,4201805732956.0,4799385150588.0,444379331816.0,20045232031.0,9465615447391.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,4.038.720.537.694,4.621.753.187.033,420.656.203.896,18.523.277.576,9.099.653.206.199,4038720537694.0,4621753187033.0,420656203896.0,18523277576.0,9099653206199.0
