row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thăng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thăng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,20.899.554.450.000,23.225.734.296,5.200.576.149.674,2.890.568.609.579,29.013.924.943.549,20899554450000.0,23225734296.0,5200576149674.0,2890568609579.0,29013924943549.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,8.710.445.740.223,8.710.445.740.223,,,,8710445740223.0,8710445740223.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,871.044.574.021,(871.044.574.021),-,,,871044574021.0,-871044574021.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(871.044.574.021),(871.044.574.021),,,,-871044574021.0,-871044574021.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(6.165.368.562.750),(6.165.368.562.750),,,,-6165368562750.0,-6165368562750.0
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,20.899.554.450.000,23.225.734.296,6.071.620.723.695,3.693.556.639.010,30.687.957.547.001,20899554450000.0,23225734296.0,6071620723695.0,3693556639010.0,30687957547001.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,9.262.413.822.949,9.262.413.822.949,,,,9262413822949.0,9262413822949.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,926.241.382.296,(926.241.382.296),-,,,926241382296.0,-926241382296.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(926.241.382.296),(926.241.382.296),,,,-926241382296.0,-926241382296.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,(8.046.328.463.250),(8.046.328.463.250),,,,-8046328463250.0,-8046328463250.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,20.899.554.450.000,23.225.734.296,6.997.862.105.991,3.057.159.234.117,30.977.801.524.404,20899554450000.0,23225734296.0,6997862105991.0,3057159234117.0,30977801524404.0
