row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.580.999.009.863,14.442.633.778.640,1.059.363.124.591,663.777.535.354,18.746.773.448.448,2580999009863.0,14442633778640.0,1059363124591.0,663777535354.0,18746773448448.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.450.124.786,269.383.458.006,38.196.928.200,22.862.936.605,340.893.447.597,10450124786.0,269383458006.0,38196928200.0,22862936605.0,340893447597.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,24.868.044.118,290.787.272.952,7.290.698.940,955.206.027,323.901.222.037,24868044118.0,290787272952.0,7290698940.0,955206027.0,323901222037.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(8.330.221.197),(62.755.606.343),(18.070.209.494),(35.569.112.548),(124.725.149.582),-8330221197.0,-62755606343.0,-18070209494.0,-35569112548.0,-124725149582.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.028.440.677,(1.028.440.677),-,-,-,1028440677.0,-1028440677.0,,,
Chuyển sang tài sản cố định vô hình,Nguyên giá > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,-,(7.998.356.824),(7.998.356.824),,,,-7998356824.0,-7998356824.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.609.015.398.247,14.939.020.462.578,1.086.780.542.237,644.028.208.614,19.278.844.611.676,2609015398247.0,14939020462578.0,1086780542237.0,644028208614.0,19278844611676.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.220.387.611.537,10.316.574.600.613,783.200.882.079,549.577.982.933,12.869.741.077.162,1220387611537.0,10316574600613.0,783200882079.0,549577982933.0,12869741077162.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,84.274.963.833,839.336.819.867,62.220.289.710,38.722.319.495,1.024.554.392.905,84274963833.0,839336819867.0,62220289710.0,38722319495.0,1024554392905.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(7.244.767.340),(59.051.708.030),(17.857.443.891),(35.533.838.547),(119.687.757.808),-7244767340.0,-59051708030.0,-17857443891.0,-35533838547.0,-119687757808.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,803.181.327,(803.181.327),-,-,-,803181327.0,-803181327.0,,,
Chuyển sang tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,-,(2.443.942.359),(2.443.942.359),,,,-2443942359.0,-2443942359.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.298.220.989.357,11.096.056.531.123,827.563.727.898,550.322.521.522,13.772.163.769.900,1298220989357.0,11096056531123.0,827563727898.0,550322521522.0,13772163769900.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.360.611.398.326,4.126.059.178.027,276.162.242.512,114.199.552.421,5.877.032.371.286,1360611398326.0,4126059178027.0,276162242512.0,114199552421.0,5877032371286.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.310.794.408.890,3.842.963.931.455,259.216.814.339,93.705.687.092,5.506.680.841.776,1310794408890.0,3842963931455.0,259216814339.0,93705687092.0,5506680841776.0
