row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Mối quan hệ > Công ty con,"Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định > Lợi nhuận được chia > Thu nhập khác > Ký quỹ, ký cược",2024 VND > 1.945.691.457.299 > 821.194.890 > 250.000.000.000 > 97.319.500 > -,2023 VND > 2.082.573.805.263 > 285.737.831 > - > 4.863.132.228 > 650.768.580,numeric__Mối quan hệ > Công ty con,"numeric__Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định > Lợi nhuận được chia > Thu nhập khác > Ký quỹ, ký cược",numeric__2024 VND > 1.945.691.457.299 > 821.194.890 > 250.000.000.000 > 97.319.500 > -,numeric__2023 VND > 2.082.573.805.263 > 285.737.831 > - > 4.863.132.228 > 650.768.580
Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Mua hàng hóa,444.830.795.300,442.028.426.300,,,444830795300.0,442028426300.0
Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành viên Bò Sữa Thống Nhất Thanh Hóa,Công ty con,Hỗ trợ bán hàng,451.457.740,-,,,451457740.0,
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua hàng hóa,18.619.355.000,20.234.758.400,,,18619355000.0,20234758400.0
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Cổ tức được chia,6.842.414.250,3.909.951.000,,,6842414250.0,3909951000.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Lợi nhuận được chia,223.488.805.572,100.884.053.070,,,223488805572.0,100884053070.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định,100.704.693,668.570.175,,,100704693.0,668570175.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Góp vốn,-,59.606.132,,,,59606132.0
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Mua hàng hóa,299.152.572.265,82.748.372.950,,,299152572265.0,82748372950.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua hàng hóa và dịch vụ,572.830.389.827,425.263.034.815,,,572830389827.0,425263034815.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Cổ tức được chia,19.475.580.000,19.475.580.000,,,19475580000.0,19475580000.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Bán tài sản cố định,4.295.170.594,-,,,4295170594.0,
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua tài sản cố định,3.920.351.174,-,,,3920351174.0,
