row_label_raw,row_label_full,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,01,col_2,11.243.489.707.213,10.543.545.529.354,numeric__01,numeric__col_2,numeric__11.243.489.707.213,numeric__10.543.545.529.354
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.035.105.570.071,1.126.872.890.503,2.0,,1035105570071.0,1126872890503.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,03,,201.206.065.116,50.375.548.267,3.0,,201206065116.0,50375548267.0
"các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ thanh lý/xóa số tài sản cố định và xây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ","các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ thanh lý/xóa số tài sản cố định và xây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ","các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ thanh lý/xóa số tài sản cố định và xây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ",04,,(8.506.037.811),6.515.725.342,4.0,,-8506037811.0,6515725342.0
"các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ thanh lý/xóa số tài sản cố định và xây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ","các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ thanh lý/xóa số tài sản cố định và xây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ","các khoản mục tiền tệ có gốc ngoại tệ(Lãi)/lỗ từ thanh lý/xóa số tài sản cố định và xây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗ",05,,(2.784.098.085),4.366.131.644,5.0,,-2784098085.0,4366131644.0
từ hoạt động đầu tư khácChi phí lãi vay,từ hoạt động đầu tư khácChi phí lãi vay,từ hoạt động đầu tư khácChi phí lãi vay,05,,(1.651.660.346.451),(1.411.140.914.611),5.0,,-1651660346451.0,-1411140914611.0
từ hoạt động đầu tư khácChi phí lãi vay,từ hoạt động đầu tư khácChi phí lãi vay,từ hoạt động đầu tư khácChi phí lãi vay,06,VI.4,227.618.556.891,319.960.906.546,6.0,,227618556891.0,319960906546.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,11.044.469.416.944,10.640.495.817.045,8.0,,11044469416944.0,10640495817045.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,,44.926.814.930,(4.927.500.180),9.0,,44926814930.0,-4927500180.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,,456.078.350.449,(260.051.200.854),10.0,,456078350449.0,-260051200854.0
Biến động các khoản phải trả và nợphải trả khác,Biến động các khoản phải trả và nợphải trả khác,Biến động các khoản phải trả và nợphải trả khác,11,,326.630.261.710,(603.498.051.436),11.0,,326630261710.0,-603498051436.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,,76.017.707.729,18.591.158.612,12.0,,76017707729.0,18591158612.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(287.004.644.127),(266.216.131.570),14.0,,-287004644127.0,-266216131570.0
Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,V.13,(1.997.458.922.345),(1.441.600.595.087),15.0,,-1997458922345.0,-1441600595087.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(817.840.719.540),(744.714.704.791),17.0,,-817840719540.0,-744714704791.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,8.845.818.265.750,7.338.078.791.739,20.0,,8845818265750.0,7338078791739.0
