row_label_raw,row_label_full,col_0,31/12/2024 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,31/12/2024 > Giá gốcVND,31/12/2024 > Giá trịhợp lýVND,31/12/2024 > Dựphònggiảm giáVND,1/1/2024 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,1/1/2024 > Giá gốcVND,1/1/2024 > Giá trịhợp lýVND,numeric__31/12/2024 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,numeric__31/12/2024 > Giá gốcVND,numeric__31/12/2024 > Giá trịhợp lýVND,numeric__31/12/2024 > Dựphònggiảm giáVND,numeric__1/1/2024 > % vốnsở hữu vàquyềnbiểu quyếttrực tiếp,numeric__1/1/2024 > Giá gốcVND,numeric__1/1/2024 > Giá trịhợp lýVND
Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,,,,,,,
▪ Công ty TNHH Một Thành viên Bò SửaViệt Nam,Đầu tư vào các công ty con > ▪ Công ty TNHH Một Thành viên Bò SửaViệt Nam,▪ Công ty TNHH Một Thành viên Bò SửaViệt Nam,"100,00%",2.250.780.000.000,(*),-,"100,00%",2.250.780.000.000,(*),1.0,2250780000000.0,,,1.0,2250780000000.0,
▪ Driftwood Dairy Holding Corporation,Đầu tư vào các công ty con > ▪ Driftwood Dairy Holding Corporation,▪ Driftwood Dairy Holding Corporation,"100,00%",458.395.918.429,(*),-,"100,00%",458.395.918.429,(*),1.0,458395918429.0,,,1.0,458395918429.0,
"▪ Angkor Dairy Products Co., Ltd.","Đầu tư vào các công ty con > ▪ Angkor Dairy Products Co., Ltd.","▪ Angkor Dairy Products Co., Ltd.","100,00%",464.348.847.883,(*),-,"100,00%",464.348.847.883,(*),1.0,464348847883.0,,,1.0,464348847883.0,
▪ Công ty TNHH Một Thành viên Bò SửaThông Nhất Thanh Hóa,Đầu tư vào các công ty con > ▪ Công ty TNHH Một Thành viên Bò SửaThông Nhất Thanh Hóa,▪ Công ty TNHH Một Thành viên Bò SửaThông Nhất Thanh Hóa,"100,00%",1.181.682.699.703,(*),-,"100,00%",1.181.682.699.703,(*),1.0,1181682699703.0,,,1.0,1181682699703.0,
▪ Công ty Cổ phần Đường Việt Nam,Đầu tư vào các công ty con > ▪ Công ty Cổ phần Đường Việt Nam,▪ Công ty Cổ phần Đường Việt Nam,"65,00%",1.253.306.061.273,(*),-,"65,00%",1.253.306.061.273,(*),0.65,1253306061273.0,,,0.65,1253306061273.0,
"▪ Lao-Jagro Development XiengkhouangCo., Ltd.","Đầu tư vào các công ty con > ▪ Lao-Jagro Development XiengkhouangCo., Ltd.","▪ Lao-Jagro Development XiengkhouangCo., Ltd.","87,32%",1.543.008.591.832,(*),-,"87,32%",1.543.008.591.832,(*),0.8732,1543008591832.0,,,0.8732,1543008591832.0,
▪ Tổng Công ty Chăn nuôi Việt Nam –Công ty Cổ phần,Đầu tư vào các công ty con > ▪ Tổng Công ty Chăn nuôi Việt Nam –Công ty Cổ phần,▪ Tổng Công ty Chăn nuôi Việt Nam –Công ty Cổ phần,"68,94%",3.857.488.194.836,(*),-,"68,94%",3.857.488.194.836,(*),0.6894,3857488194836.0,,,0.6894,3857488194836.0,
▪ Công ty Cổ phần Giống Bò sữaMộc Châu,Đầu tư vào các công ty con > ▪ Công ty Cổ phần Giống Bò sữaMộc Châu,▪ Công ty Cổ phần Giống Bò sữaMộc Châu,"8,85%",277.647.015.000,(*),-,"8,85%",277.647.015.000,(*),0.0885,277647015000.0,,,0.0885,277647015000.0,
,,,,11.286.657.328.956,,-,,11.286.657.328.956,,,11286657328956.0,,,,11286657328956.0,
