row_label_raw,row_label_full,Bên liên quan (*),Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty liên kết,
Công ty Cổ phần Bán lẻ Ký thuật số FPT,Công ty Cổ phần Bán lẻ Ký thuật số FPT,Công ty Cổ phần Bán lẻ Ký thuật số FPT,Công ty liên kết,
Công ty Cổ phần Quản lý Quý đầu tư FPT,Công ty Cổ phần Quản lý Quý đầu tư FPT,Công ty Cổ phần Quản lý Quý đầu tư FPT,Công ty liên kết,
Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty liên kết đến tháng 6/2021,
"Hội đồng Quản trị, Ban Kiểm soát, Tổng Giám đốc và người quản lý chủ chốt khác","Hội đồng Quản trị, Ban Kiểm soát, Tổng Giám đốc và người quản lý chủ chốt khác","Hội đồng Quản trị, Ban Kiểm soát, Tổng Giám đốc và người quản lý chủ chốt khác",Nhân sự quản lý chủ chốt,
