row_label_raw,row_label_full,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022_1,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,numeric__Công ty,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31 tháng 12 năm 2022,numeric__Tại ngày 31 tháng 12 năm 2022_1,numeric__Tại ngày 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2021_1
STT,STT,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,Tỷ lệ biểu quyết,,,,,,,
24,STT > 24,24,Công ty TNHH FPT Siam,Sản xuất phần mềm,Thái Lan,"99,97%","99,97%","99,97%","99,97%",,,,0.9997,0.9997,0.9997,0.9997
25,STT > 25,25,Công ty TNHH FPT Dubai,Sản xuất phần mềm,UAE,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
26,STT > 26,26,Công ty TNHH FPT HongKong,Sản xuất phần mềm,HongKong,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
27,STT > 27,27,Công ty TNHH Hệ thống thông tin Singapore,Sản xuất phần mềm,Singapore,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
28,STT > 28,28,Công ty TNHH FPT Myanmar,Sản xuất phần mềm,Myanmar,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
29,STT > 29,29,Công ty TNHH Phần mềm FPT Hồ Chí Minh,Sản xuất phần mềm,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
30,STT > 30,30,Công ty TNHH Phần mềm FPT Hà Nội,Sản xuất phần mềm,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
31,STT > 31,31,Công ty TNHH Phần mềm FPT Miền Trung,Sản xuất phần mềm,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
32,STT > 32,32,Công ty TNHH Phần mềm FPT Thăng Long,Sản xuất phần mềm,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
33,STT > 33,33,Công ty TNHH Dịch vụ Xử lý số FPT,Sản xuất phần mềm,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
34,STT > 34,34,Công ty Cổ phần Kỹ thuật Công nghệ TRANDATA,Lập trình máy vi tính,Việt Nam,"77,26%","77,26%","77,26%","77,26%",,,,0.7726000000000001,0.7726000000000001,0.7726000000000001,0.7726000000000001
35,STT > 35,35,Công ty Cổ phần Công nghệ HOMA,"Sản xuất, sửa chữa linh kiện điện tử, thiết bị truyền thông, thiết bị điện",Việt Nam,75%,75%,75%,75%,,,,0.75,0.75,0.75,0.75
36,STT > 36,36,Công ty TNHH Phần mềm FPT Quy Nhơn,Sản xuất phần mềm,Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
37,STT > 37,37,Công ty Phần mềm FPT Tô Châu,Sản xuất phần mềm,Trung Quốc,100%,100%,Chưa thành lập,Chưa thành lập,,,,1.0,1.0,,
38,STT > 38,38,Công ty TNHH Akavault,Tư vấn công nghệ,Singapore,100%,100%,Chưa thành lập,Chưa thành lập,,,,1.0,1.0,,
39,STT > 39,39,Công ty Phần mềm FPT Hà Lan,Sản xuất phần mềm,Hà Lan,100%,100%,Chưa thành lập,Chưa thành lập,,,,1.0,1.0,,
40,STT > 40,40,Công ty Cổ phần bán dẫn FPT,Sản xuất linh kiện điện tử,Việt Nam,"94,99%","94,99%","94,99%","94,99%",,,,0.9499,0.9499,0.9499,0.9499
41,STT > 41,41,Công ty Base Platform Pte,Sản xuất phần mềm,Singapore,80%,80%,80%,80%,,,,0.8,0.8,0.8,0.8
42,STT > 42,42,Công ty Cổ phần Base Enterprise,Sản xuất phần mềm,Việt Nam,"79,99%","99,98%","79,99%","99,98%",,,,0.7998999999999999,0.9998,0.7998999999999999,0.9998
43,STT > 43,43,Công ty Cổ phần Giáo dục Trực tuyến UNIX,"Giáo dục, đào tạo",Việt Nam,0%,0%,70%,70%,,,,0.0,0.0,0.7,0.7
44,STT > 44,44,Công ty TNHH Bất động sản FPT,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",Việt Nam,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
