row_label_raw,row_label_full,col_0,31/12/2022 > Giá trị ghi sô VND,31/12/2022 > Giá trị hợp lý VND,31/12/2022 > Dự phòng VND,31/12/2021 > Giá trị ghi sô VND,31/12/2021 > Giá trị hợp lý VND,31/12/2021 > Dự phòng VND,numeric__31/12/2022 > Giá trị ghi sô VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__31/12/2022 > Dự phòng VND,numeric__31/12/2021 > Giá trị ghi sô VND,numeric__31/12/2021 > Giá trị hợp lý VND,numeric__31/12/2021 > Dự phòng VND
Ngân hàng TMCP Tiên Phong (*),Ngân hàng TMCP Tiên Phong (*),Ngân hàng TMCP Tiên Phong (*),494.371.420.000,2.254.864.654.050,-,494.371.420.000,4.397.253.874.050,-,494371420000.0,2254864654050.0,,494371420000.0,4397253874050.0,
Công ty Cổ phần Chứng khoán FPT (*),Công ty Cổ phần Chứng khoán FPT (*),Công ty Cổ phần Chứng khoán FPT (*),451.052.683.613,715.007.525.400,-,421.951.853.613,1.740.229.992.800,-,451052683613.0,715007525400.0,,421951853613.0,1740229992800.0,
Khác,Khác,Khác,1.453.649.014.971,(**),(1.376.710.238.490),1.014.683.355.795,(**),(847.218.375.471),1453649014971.0,,-1376710238490.0,1014683355795.0,,-847218375471.0
,,,2.399.073.118.584,,(1.376.710.238.490),1.931.006.629.408,,(847.218.375.471),2399073118584.0,,-1376710238490.0,1931006629408.0,,-847218375471.0
