row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,5.056.767.041.233,10.276.836.752.473,87.170.848.059,569.828.124.850,90.224.949.553,16.080.827.716.168,5056767041233.0,10276836752473.0,87170848059.0,569828124850.0,90224949553.0,16080827716168.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,41.422.563.248,923.960.885.459,10.369.376.195,66.536.969.204,3.766.755.529,1.046.056.549.635,41422563248.0,923960885459.0,10369376195.0,66536969204.0,3766755529.0,1046056549635.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,724.559.589.155,1.272.849.236.601,-,58.756.100.000,14.752.283.954,2.070.917.209.710,724559589155.0,1272849236601.0,,58756100000.0,14752283954.0,2070917209710.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",(13.299.389.367),(140.830.876.747),(1.700.690.363),(6.841.750.620),(1.170.711.000),(163.843.418.097),-13299389367.0,-140830876747.0,-1700690363.0,-6841750620.0,-1170711000.0,-163843418097.0
Khác,Nguyên giá > Khác,Khác,(5.752.256.671),(12.132.406.349),(209.483.802),(8.036.562.674),155.049.193,(25.975.660.303),-5752256671.0,-12132406349.0,-209483802.0,-8036562674.0,155049193.0,-25975660303.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,5.803.697.547.598,12.320.683.591.437,95.630.050.089,680.242.880.760,107.728.327.229,19.007.982.397.113,5803697547598.0,12320683591437.0,95630050089.0,680242880760.0,107728327229.0,19007982397113.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(720.439.970.576),(5.578.521.800.370),(53.808.026.386),(445.838.389.141),(21.284.830.632),(6.819.893.017.105),-720439970576.0,-5578521800370.0,-53808026386.0,-445838389141.0,-21284830632.0,-6819893017105.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(254.512.408.244),(1.266.269.833.551),(10.071.905.470),(54.315.919.390),(8.719.119.087),(1.593.889.185.742),-254512408244.0,-1266269833551.0,-10071905470.0,-54315919390.0,-8719119087.0,-1593889185742.0
"Thanh lý, xóa sổ","Giá trị khấu hao lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",5.404.082.926,94.825.322.365,1.700.690.363,6.737.225.408,491.388.660,109.158.709.722,5404082926.0,94825322365.0,1700690363.0,6737225408.0,491388660.0,109158709722.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,(1.918.496.413),8.509.699.657,179.157.538,4.100.910.380,963.370,10.872.234.532,-1918496413.0,8509699657.0,179157538.0,4100910380.0,963370.0,10872234532.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(971.466.792.307),(6.741.456.611.899),(62.000.083.955),(489.316.172.743),(29.511.597.689),(8.293.751.258.593),-971466792307.0,-6741456611899.0,-62000083955.0,-489316172743.0,-29511597689.0,-8293751258593.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,4.336.327.070.657,4.698.314.952.103,33.362.821.673,123.989.735.709,68.940.118.921,9.260.934.699.063,4336327070657.0,4698314952103.0,33362821673.0,123989735709.0,68940118921.0,9260934699063.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,4.832.230.755.291,5.579.226.979.538,33.629.966.134,190.926.708.017,78.216.729.540,10.714.231.138.520,4832230755291.0,5579226979538.0,33629966134.0,190926708017.0,78216729540.0,10714231138520.0
