row_label_raw,row_label_full,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022_1,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,numeric__Công ty,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31 tháng 12 năm 2022,numeric__Tại ngày 31 tháng 12 năm 2022_1,numeric__Tại ngày 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2021_1
STT,STT,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu,Tỷ lệ quyết,Tỷ lệ sở hữu,Tỷ lệ quyết,,,,,,,
1,STT > 1,1,Công ty TNHH SBI FPT,Sản xuất phần mềm,Việt Nam,30%,30%,30%,30%,,,,0.3,0.3,0.3,0.3
2,STT > 2,2,Công ty TNHH MJS FPT,Sản xuất phần mềm,Việt Nam,50%,50%,50%,50%,,,,0.5,0.5,0.5,0.5
3,STT > 3,3,Công ty TNHH FPT Smart Technologies,Sản xuất phần mềm,Việt Nam,50%,50%,50%,50%,,,,0.5,0.5,0.5,0.5
4,STT > 4,4,Công ty TNHH Trí tuệ nhân tạo Quy Nhơn,Kinh doanh bất động sản,Việt Nam,49%,49%,49%,49%,,,,0.49,0.49,0.49,0.49
5,STT > 5,5,Công ty Cổ phần Công nghệ Nami,Sản xuất phần mềm,Việt Nam,"49,15%","49,15%",Chưa thành lập,Chưa thành lập,,,,0.4915,0.4915,,
6,STT > 6,6,Công ty Cổ phần Next Robotics,"Sản xuất thiết bị tự hành, tự động hóa",Việt Nam,"49,10%","49,10%",Chưa thành lập,Chưa thành lập,,,,0.491,0.491,,
