row_label_raw,row_label_full,i),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2022VND,31/12/2021VND,numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2022VND,numeric__31/12/2021VND
i),i),i),Công ty Cổ phần Synnex FPT,4.930.376.723,8.249.240.502,,4930376723.0,8249240502.0
i),i),i),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,28.976.052.486,12.758.880.547,,28976052486.0,12758880547.0
i),i),i),,33.906.429.209,21.008.121.049,,33906429209.0,21008121049.0
ii),ii),ii),Phải trả người bán ngắn hạn (Thuyết minh 16),,,,,
ii),ii) > ii),ii),Công ty Cổ phần Synnex FPT,236.365.854.400,122.863.851.131,,236365854400.0,122863851131.0
ii),ii) > ii),ii),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,5.475.894.295,4.889.662.632,,5475894295.0,4889662632.0
ii),ii) > ii),ii),,241.841.748.695,127.753.513.763,,241841748695.0,127753513763.0
iii),iii),iii),Phải trả ngắn hạn khác,,,,,
iii),iii) > iii),iii),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,1.143.136.900,270.752.646,,1143136900.0,270752646.0
iv),iv),iv),Vay ngắn hạn (Thuyết minh 21),,,,,
iv),iv) > iv),iv),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,40.000.000.000,1.520.000.000.000,,40000000000.0,1520000000000.0
v),v),v),Phải thu khác,,,,,
v),v) > v),v),Công ty Cổ phần Quản lý Quỹ đầu tư FPT,41.366.081.776,41.366.081.776,,41366081776.0,41366081776.0
