row_label_raw,row_label_full,Công ty liên kết,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31 tháng 12 năm 2022 và 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2022 và 31 tháng 12 năm 2021_1,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31 tháng 12 năm 2022 và 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2022 và 31 tháng 12 năm 2021_1
Công ty liên kết,Công ty liên kết,Công ty liên kết,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu,Tỷ lệ biểu quyết,,,,
Công ty Cổ phần Synnex FPT,Công ty liên kết > Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính","Số 17, Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",48%,48%,,,0.48,0.48
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty liên kết > Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"Bán lẻ máy vi tính, thiết bị ngoại vị, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông","Số 261 - 263 Khánh Hội, Phường 2, Quận 4, Hồ Chí Minh","46,53%","46,53%",,,0.4653,0.4653
Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty liên kết > Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,"Quản lý quỹ đầu tư, quản lý danh mục đầu tư và các dịch vụ khác","Tầng 9, Tòa nhà TTC Lỗ B1A, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",25%,25%,,,0.25,0.25
