row_label_raw,row_label_full,col_0,Tại ngày 1 tháng 1 năm 2022 > Giá trị VND,Tại ngày 1 tháng 1 năm 2022 > Số có khả năng trả nợ VND,Phát sinh trong năm > Tăng VND,Phát sinh trong năm > Giảm VND,Phát sinh trong năm > Chênh lệch tỷ giá hối đoái VND,Tại ngày 31 tháng 12 năm 2022 > Giá trị VND,Tại ngày 31 tháng 12 năm 2022 > Số có khả năng trả nợ VND,numeric__Tại ngày 1 tháng 1 năm 2022 > Giá trị VND,numeric__Tại ngày 1 tháng 1 năm 2022 > Số có khả năng trả nợ VND,numeric__Phát sinh trong năm > Tăng VND,numeric__Phát sinh trong năm > Giảm VND,numeric__Phát sinh trong năm > Chênh lệch tỷ giá hối đoái VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Giá trị VND,numeric__Tại ngày 31 tháng 12 năm 2022 > Số có khả năng trả nợ VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngắn hàng (i),Vay ngắn hạn > Vay ngắn hàng (i),Vay ngắn hàng (i),15.861.426.776.367,15.861.426.776.367,23.881.477.406.332,(29.698.949.307.622),(49.254.266.109),9.994.700.608.968,9.994.700.608.968,15861426776367.0,15861426776367.0,23881477406332.0,-29698949307622.0,-49254266109.0,9994700608968.0,9994700608968.0
Vay bên liên quan (Thuyết minh 34(a) và (b)) (i),Vay ngắn hạn > Vay bên liên quan (Thuyết minh 34(a) và (b)) (i),Vay bên liên quan (Thuyết minh 34(a) và (b)) (i),1.520.000.000.000,1.520.000.000.000,4.120.000.000.000,(5.600.000.000.000),-,40.000.000.000,40.000.000.000,1520000000000.0,1520000000000.0,4120000000000.0,-5600000000000.0,,40000000000.0,40000000000.0
Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,,,,,,,
Vay ngắn hàng (ii),Vay và nợ dài hạn đến hạn trả > Vay ngắn hàng (ii),Vay ngắn hàng (ii),416.624.371.951,416.624.371.951,898.523.491.223,(441.105.641.290),(17.677.612.159),856.364.609.725,856.364.609.725,416624371951.0,416624371951.0,898523491223.0,-441105641290.0,-17677612159.0,856364609725.0,856364609725.0
Nợ thuê tài chính,Vay và nợ dài hạn đến hạn trả > Nợ thuê tài chính,Nợ thuê tài chính,1.390.039.459,1.390.039.459,20.246.649.124,(8.376.145.424),19.083.162,13.279.626.321,13.279.626.321,1390039459.0,1390039459.0,20246649124.0,-8376145424.0,19083162.0,13279626321.0,13279626321.0
,,,17.799.441.187.777,17.799.441.187.777,28.920.247.546.679,(35.748.431.094.336),(66.912.795.106),10.904.344.845.014,10.904.344.845.014,17799441187777.0,17799441187777.0,28920247546679.0,-35748431094336.0,-66912795106.0,10904344845014.0,10904344845014.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,
Vay ngân hàng (ii),Dài hạn > Vay ngân hàng (ii),Vay ngân hàng (ii),2.292.293.834.547,2.292.293.834.547,82.164.186.447,(898.523.491.223),(18.334.324.862),1.457.600.204.909,1.457.600.204.909,2292293834547.0,2292293834547.0,82164186447.0,-898523491223.0,-18334324862.0,1457600204909.0,1457600204909.0
Nợ thuê tài chính,Dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,4.014.658.499,4.014.658.499,36.587.391.954,(20.246.649.124),(125.272.248),20.230.129.081,20.230.129.081,4014658499.0,4014658499.0,36587391954.0,-20246649124.0,-125272248.0,20230129081.0,20230129081.0
,,,2.296.308.493.046,2.296.308.493.046,118.751.578.401,(918.770.140.347),(18.459.597.110),1.477.830.333.990,1.477.830.333.990,2296308493046.0,2296308493046.0,118751578401.0,-918770140347.0,-18459597110.0,1477830333990.0,1477830333990.0
