row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,"Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,"numeric__Giấy phép, quyền khai thác, quyền phát hành và bản quyền VND",numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,224.241.039.098,505.468.243.345,1.213.164.052.667,306.233.311.901,2.249.106.647.011,224241039098.0,505468243345.0,1213164052667.0,306233311901.0,2249106647011.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.230.898.724,110.976.758.657,1.943.717.135,418.559.290,144.569.933.806,31230898724.0,110976758657.0,1943717135.0,418559290.0,144569933806.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,114.101.818.427,114.671.592.898,-,228.773.411.325,,114101818427.0,114671592898.0,,228773411325.0
"Thanh lý, xóa số","Nguyên giá > Thanh lý, xóa số","Thanh lý, xóa số",-,(48.361.512.489),(13.514.756.095),-,(61.876.268.584),,-48361512489.0,-13514756095.0,,-61876268584.0
Khác,Nguyên giá > Khác,Khác,(2.340.486.933),883.729.028,(10.826.902.427),(406.738.441),(12.690.398.773),-2340486933.0,883729028.0,-10826902427.0,-406738441.0,-12690398773.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,253.131.450.889,683.069.036.968,1.305.437.704.178,306.245.132.750,2.547.883.324.785,253131450889.0,683069036968.0,1305437704178.0,306245132750.0,2547883324785.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,(12.044.918.407),(405.544.361.997),(644.382.459.695),(54.074.849.065),(1.116.046.589.164),-12044918407.0,-405544361997.0,-644382459695.0,-54074849065.0,-1116046589164.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.471.376.223),(73.506.938.518),(104.571.880.231),(15.364.553.972),(194.914.748.944),-1471376223.0,-73506938518.0,-104571880231.0,-15364553972.0,-194914748944.0
"Thanh lý, xóa số","Giá trị khấu hao lũy kế > Thanh lý, xóa số","Thanh lý, xóa số",-,38.044.470.463,13.514.756.095,-,51.559.226.558,,38044470463.0,13514756095.0,,51559226558.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(922.740.986),(568.845.108),70.562.813,(1.421.023.281),,-922740986.0,-568845108.0,70562813.0,-1421023281.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,(13.516.294.630),(441.929.571.038),(736.008.428.939),(69.368.840.224),(1.260.823.134.831),-13516294630.0,-441929571038.0,-736008428939.0,-69368840224.0,-1260823134831.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,212.196.120.691,99.923.881.348,568.781.592.972,252.158.462.836,1.133.060.057.847,212196120691.0,99923881348.0,568781592972.0,252158462836.0,1133060057847.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,239.615.156.259,241.139.465.930,569.429.275.239,236.876.292.526,1.287.060.189.954,239615156259.0,241139465930.0,569429275239.0,236876292526.0,1287060189954.0
