row_label_raw,row_label_full,col_0,Công nghệ thông tin và viễn thông,Công nghệ thông tin và viễn thông_1,Công nghệ thông tin và viễn thông_2,Công nghệ thông tin và viễn thông_3,"Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,numeric__Công nghệ thông tin và viễn thông,numeric__Công nghệ thông tin và viễn thông_1,numeric__Công nghệ thông tin và viễn thông_2,numeric__Công nghệ thông tin và viễn thông_3,"numeric__Đầu tư, giáo dục và khác",numeric__Loại trừ hợp nhất,numeric__Tổng cộng
,,,Viễn thông,Nội dung số,Phần mềm xuất khẩu,"Dịch vụ CNTT, phần mềm và giải pháp phần mềm, tích hợp hệ thống","Đầu tư, giáo dục và khác",Loại trừ hợp nhất,Tổng cộng,,,,,,,
Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,Doanh thu thuần theo bộ phận,13.954.220(11.688.219),775.429(500.359),18.915.494(16.195.185),6.847.408(6.535.943),5.066.948(4.164.764),(1.549.971)1.869.501,44.009.528(37.214.970),,,,,,,
Chi phí theo bộ phận (*),Chi phí theo bộ phận (*),Chi phí theo bộ phận (*),,,,,,,,,,,,,,
Trong đó:- Tổng chi phí khấu hao TSCĐ và phân bổ LTTM,Chi phí theo bộ phận (*) > Trong đó:- Tổng chi phí khấu hao TSCĐ và phân bổ LTTM,Trong đó:- Tổng chi phí khấu hao TSCĐ và phân bổ LTTM,(1.169.182),(4.469),(354.672),(63.454),(276.386),35.099,(1.833.064),-1169182.0,-4469.0,-354672.0,-63454.0,-276386.0,35099.0,-1833064.0
- Tổng phân bổ chi phí trả trước dài hạn,Chi phí theo bộ phận (*) > - Tổng phân bổ chi phí trả trước dài hạn,- Tổng phân bổ chi phí trả trước dài hạn,(1.551.365),(5.259),(264.674),(28.037),(173.343),6.356,(2.016.321),-1551365.0,-5259.0,-264674.0,-28037.0,-173343.0,6356.0,-2016321.0
"Phần (lỗ)/ lãi trong công ty liên doanh, liên kết","Chi phí theo bộ phận (*) > Phần (lỗ)/ lãi trong công ty liên doanh, liên kết","Phần (lỗ)/ lãi trong công ty liên doanh, liên kết",-,-,(10.632),-,494.230,-,483.598,,,-10632.0,,494230.0,,483598.0
Kết quả HĐKD theo bộ phận,Chi phí theo bộ phận (*) > Kết quả HĐKD theo bộ phận,Kết quả HĐKD theo bộ phận,2.266.001,275.070,2.709.676,311.465,1.396.413,319.530,7.278.155,2266001.0,275070.0,2709676.0,311465.0,1396413.0,319530.0,7278155.0
Lợi nhuận trước thuế theo bộ phận,Chi phí theo bộ phận (*) > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,2.508.337,309.260,2.976.729,389.468,4.247.473,(2.768.983),7.662.283,2508337.0,309260.0,2976729.0,389468.0,4247473.0,-2768983.0,7662283.0
Tổng chi phí đã phát sinh để mua TSCĐ và các tài sản dài hạn khác,Chi phí theo bộ phận (*) > Tổng chi phí đã phát sinh để mua TSCĐ và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua TSCĐ và các tài sản dài hạn khác,3.742.789,19.209,1.205.731,330.757,975.436,-,6.273.922,3742789.0,19209.0,1205731.0,330757.0,975436.0,,6273922.0
Tài sản bộ phận tại 31/12/2022,Chi phí theo bộ phận (*) > Tài sản bộ phận tại 31/12/2022,Tài sản bộ phận tại 31/12/2022,18.034.495,994.252,14.829.721,6.171.830,19.456.803,(7.836.697),51.650.404,18034495.0,994252.0,14829721.0,6171830.0,19456803.0,-7836697.0,51650404.0
Nợ phải trả bộ phận tại 31/12/2022,Chi phí theo bộ phận (*) > Nợ phải trả bộ phận tại 31/12/2022,Nợ phải trả bộ phận tại 31/12/2022,10.656.818,262.570,9.045.462,4.408.145,9.191.880,(7.270.595),26.294.279,10656818.0,262570.0,9045462.0,4408145.0,9191880.0,-7270595.0,26294279.0
