row_label_raw,row_label_full,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022_1,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,numeric__Công ty,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tại ngày 31 tháng 12 năm 2022,numeric__Tại ngày 31 tháng 12 năm 2022_1,numeric__Tại ngày 31 tháng 12 năm 2021,numeric__Tại ngày 31 tháng 12 năm 2021_1
STT,STT,STT,Công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,Tỷ lệ biểu quyết,,,,,,,
1,STT > 1,1,Công ty TNHH FPT Nhật Bản,Sản xuất phần mềm,Nhật Bản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
2,STT > 2,2,Công ty TNHH FPT Okinawa R&D,Sản xuất phần mềm,Nhật Bản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
3,STT > 3,3,Công ty TNHH Phần mềm FPT Thượng Hải,Sản xuất phần mềm,Nhật Bản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
4,STT > 4,4,Công ty TNHH FPT Techno Nhật Bản,Sản xuất phần mềm,Nhật Bản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
5,STT > 5,5,Công ty TNHH FPT Indonesia,Sản xuất phần mềm,Nhật Bản,"99,79%","99,79%","99,79%","99,79%",,,,0.9979,0.9979,0.9979,0.9979
6,STT > 6,6,Công ty TNHH Phần mềm FPT Nhật Bản,Sản xuất phần mềm,Nhật Bản,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
7,STT > 7,7,Công ty TNHH FPT Taiwan,Sản xuất phần mềm,Đài Loan,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
8,STT > 8,8,Công ty Cổ phần Tư vấn FPT Nhật Bản,Tự vấn công nghệ,Nhật Bản,80%,80%,80%,80%,,,,0.8,0.8,0.8,0.8
9,STT > 9,9,Công ty TNHH FPT Korea 2,Sản xuất phần mềm,Hàn Quốc,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
10,STT > 10,10,Công ty Cổ phần FPT USA,Sản xuất phần mềm,Hoa Kỳ,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
11,STT > 11,11,Công ty TNHH FPT Canada,Sản xuất phần mềm,Canada,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
12,STT > 12,12,Công ty TNHH Tư vấn Intellinet,Tự vấn công nghệ,Hoa Kỳ,95%,95%,90%,90%,,,,0.95,0.95,0.9,0.9
13,STT > 13,13,Công ty TNHH FPT India,Sản xuất phần mềm,Ăn Độ,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
14,STT > 14,14,Công ty TNHH FPT Đức,Sản xuất phần mềm,Đức,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
15,STT > 15,15,Công ty TNHH FPT Anh,Sản xuất phần mềm,Anh,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
16,STT > 16,16,Công ty TNHH Phần mềm FPT Malaysia,Sản xuất phần mềm,Malaysia,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
17,STT > 17,17,Công ty TNHH Giải pháp Phần mềm FPT Châu Á Thái Bình Dương,Sản xuất phần mềm,Singapore,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
18,STT > 18,18,Công ty TNHH Phần mềm FPT Australasia,Sản xuất phần mềm,Australia,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
19,STT > 19,19,Công ty TNHH Phần mềm FPT Châu Âu,Sản xuất phần mềm,Pháp,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
20,STT > 20,20,Công ty TNHH Phần mềm FPT Philippines,Sản xuất phần mềm,Philippines,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
21,STT > 21,21,Công ty TNHH FPT Slovakia,Sản xuất phần mềm,Slovakia,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
22,STT > 22,22,Công ty TNHH FPT Công hòa Séc,Sản xuất phần mềm,Cộng hòa Séc,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
23,STT > 23,23,Công ty TNHH FPT Châu Á Thái Bình Dương,Sản xuất phần mềm,Singapore,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
