row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1/1/2021,Tại ngày 1/1/2021,Tại ngày 1/1/2021,7.839.874.860.000,49.713.213.411,920.081.410.199,(823.760.000),13.496.751.277,442.371.579.941,87.203.093.024,6.390.906.128.452,15.742.823.276.304,7839874860000.0,49713213411.0,920081410199.0,-823760000.0,13496751277.0,442371579941.0,87203093024.0,6390906128452.0,15742823276304.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,52.097.680.000,-,-,-,-,-,-,-,52.097.680.000,52097680000.0,,,,,,,,52097680000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,4.338.147.368.639,4.338.147.368.639,,,,,,,,4338147368639.0,4338147368639.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(397.214.792.234),(397.214.792.234),,,,,,,,-397214792234.0,-397214792234.0
Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,-,128.120.045.702,-,-,128.120.045.702,,,,,,128120045702.0,,,128120045702.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,1.183.543.950.000,-,249.845.760.000,-,-,-,-,(1.433.389.710.000),-,1183543950000.0,,249845760000.0,,,,,-1433389710000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(1.696.584.151.000),(1.696.584.151.000),,,,,,,,-1696584151000.0,-1696584151000.0
Khác,Khác,Khác,-,-,8.247.606.167,-,(36.058.683.525),-,-,(201.384.258.853),(229.195.336.211),,,8247606167.0,,-36058683525.0,,,-201384258853.0,-229195336211.0
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,9.075.516.490.000,49.713.213.411,1.178.174.776.366,(823.760.000),(22.561.932.248),570.491.625.643,87.203.093.024,7.000.480.585.004,17.938.194.091.200,9075516490000.0,49713213411.0,1178174776366.0,-823760000.0,-22561932248.0,570491625643.0,87203093024.0,7000480585004.0,17938194091200.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),66.442.650.000,-,-,823.760.000,-,-,-,-,67.266.410.000,66442650000.0,,,823760000.0,,,,,67266410000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,5.309.846.037.552,5.309.846.037.552,,,,,,,,5309846037552.0,5309846037552.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(461.504.437.652),(461.504.437.652),,,,,,,,-461504437652.0,-461504437652.0
Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,Trích và sử dụng quỹ đầu tư phát triển,-,-,-,-,-,515.779.100.405,-,(273.810.529.251),241.968.571.154,,,,,,515779100405.0,,-273810529251.0,241968571154.0
Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),1.828.306.580.000,-,-,-,-,-,-,(1.828.306.580.000),-,1828306580000.0,,,,,,,-1828306580000.0,
Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,-,-,-,(2.011.222.486.000),(2.011.222.486.000),,,,,,,,-2011222486000.0,-2011222486000.0
Khác,Khác,Khác,-,-,890.091.781,-,(17.918.758.309),-,-,(23.801.105.112),(40.829.771.640),,,890091781.0,,-17918758309.0,,,-23801105112.0,-40829771640.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,10.970.265.720.000,49.713.213.411,1.179.064.868.147,-,(40.480.690.557),1.086.270.726.048,87.203.093.024,7.711.681.484.541,21.043.718.414.614,10970265720000.0,49713213411.0,1179064868147.0,,-40480690557.0,1086270726048.0,87203093024.0,7711681484541.0,21043718414614.0
