row_label_raw,row_label_full,col_0,Kinh doanh Bất động sản và xây dựng,"Sản xuất và kinh doanh Kính, Sử, Sen vòi",Thương mại và dịch vụ khác,Tổng cộng các bộ phận,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Kinh doanh Bất động sản và xây dựng,"numeric__Sản xuất và kinh doanh Kính, Sử, Sen vòi",numeric__Thương mại và dịch vụ khác,numeric__Tổng cộng các bộ phận,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng và dịch vụ,Doanh thu thuần từ bán hàng và dịch vụ,Doanh thu thuần từ bán hàng và dịch vụ,1.699.529.488.069,1.430.798.618.376,57.156.534.728,3.187.484.641.173,,3.187.484.641.173,1699529488069.0,1430798618376.0,57156534728.0,3187484641173.0,,3187484641173.0
Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,1.373.263.236.235,1.040.689.503.008,40.534.693.037,2.454.487.432.280,,2.454.487.432.280,1373263236235.0,1040689503008.0,40534693037.0,2454487432280.0,,2454487432280.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,326.266.251.834,390.109.115.368,16.621.841.691,732.997.208.893,,732.997.208.893,326266251834.0,390109115368.0,16621841691.0,732997208893.0,,732997208893.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,657.944.573.225,291.644.013.016,585.000.000,950.173.586.241,,950.173.586.241,657944573225.0,291644013016.0,585000000.0,950173586241.0,,950173586241.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,10.325.760.316.953,1.409.309.108.025,11.869.063.058,11.746.938.488.036,(2.509.321.314.373),9.237.617.173.663,10325760316953.0,1409309108025.0,11869063058.0,11746938488036.0,-2509321314373.0,9237617173663.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,700.877.752.347,,,,,,700877752347.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,10.325.760.316.953,1.409.309.108.025,11.869.063.058,11.746.938.488.036,(2.509.321.314.373),9.938.494.926.010,10325760316953.0,1409309108025.0,11869063058.0,11746938488036.0,-2509321314373.0,9938494926010.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,7.329.219.532.035,1.276.537.930.545,9.905.642.894,8.615.663.105.474,(2.509.321.314.372),6.106.341.791.102,7329219532035.0,1276537930545.0,9905642894.0,8615663105474.0,-2509321314372.0,6106341791102.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,7.329.219.532.035,1.276.537.930.545,9.905.642.894,8.615.663.105.474,(2.509.321.314.372),6.106.341.791.102,7329219532035.0,1276537930545.0,9905642894.0,8615663105474.0,-2509321314372.0,6106341791102.0
Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,Theo khu vực địa lý,,,,,,
,,,Hà Nội,Bắc Ninh,Bình Dương và Bà Rịa - Vũng Tàu,Tổng cộng các bộ phận,Loại trừ,Tổng cộng toàn Doanh nghiệp,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Theo khu vực địa lý > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.288.750.725.971,1.217.436.068.075,1.309.893.309.774,3.816.080.103.820,(628.595.462.647),3.187.484.641.173,1288750725971.0,1217436068075.0,1309893309774.0,3816080103820.0,-628595462647.0,3187484641173.0
Tài sản bộ phận,Theo khu vực địa lý > Tài sản bộ phận,Tài sản bộ phận,9.260.436.881.721,1.881.174.056.861,1.306.205.301.801,12.447.816.240.383,(2.509.321.314.373),9.938.494.926.010,9260436881721.0,1881174056861.0,1306205301801.0,12447816240383.0,-2509321314373.0,9938494926010.0
