row_label_raw,row_label_full,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_1,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_2,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_3,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_4,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_5,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_6,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_1,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_2,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_3,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_4,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_5,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC_6
,,,Số phải thuđầu năm,Số phải nộpđầu năm,Số phải nộptrong năm,Số đã thực nộptrong năm,Số phải thucuối năm,Số phải nộpcuối năm,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,31.187.377.047,24.471.837.803,280.821.606.899,272.571.068.218,5.168.399.803,6.703.399.240,31187377047.0,24471837803.0,280821606899.0,272571068218.0,5168399803.0,6703399240.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",65.273.562,-,2.028.579.655,2.007.664.825,44.358.732,-,65273562.0,,2028579655.0,2007664825.0,44358732.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,169.923.163,40.174.205.822,79.504.127.658,90.700.117.564,169.923.163,28.978.215.916,169923163.0,40174205822.0,79504127658.0,90700117564.0,169923163.0,28978215916.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,88.872.738,2.115.423.239,3.465.383.119,3.896.613.048,12.102.291,1.607.422.863,88872738.0,2115423239.0,3465383119.0,3896613048.0,12102291.0,1607422863.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,1.036.186.438,1.946.562.678,2.416.796.210,-,565.952.906,,1036186438.0,1946562678.0,2416796210.0,,565952906.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,144.754.491.502,32.317.681.779,111.343.798.437,-,65.728.374.844,,144754491502.0,32317681779.0,111343798437.0,,65728374844.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,16.621.685.889,11.063.715.346,27.363.520.187,211.545.453,533.426.501,,16621685889.0,11063715346.0,27363520187.0,211545453.0,533426501.0
"Các khoản phí, lệ phí và các khoảnphải nộp khác","Các khoản phí, lệ phí và các khoảnphải nộp khác","Các khoản phí, lệ phí và các khoảnphải nộp khác",-,3.136.622.525,67.292.760.214,60.662.203.349,214.757.398,9.981.936.788,,3136622525.0,67292760214.0,60662203349.0,214757398.0,9981936788.0
,,,31.511.446.510,232.310.453.218,478.440.417.348,570.961.781.838,5.821.086.840,114.098.729.058,31511446510.0,232310453218.0,478440417348.0,570961781838.0,5821086840.0,114098729058.0
