row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.645.000.000.000,18.687.162,157.636.381.629,-,2.802.655.068.791,2645000000000.0,18687162.0,157636381629.0,,2802655068791.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,180.892.282.220,-,180.892.282.220,,,180892282220.0,,180892282220.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,,-,(66.125.000.000),-,(66.125.000.000),,,-66125000000.0,,-66125000000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,(2.000.000.000),-,(2.000.000.000),,,-2000000000.0,,-2000000000.0
Tăng khác,Tăng khác,Tăng khác,-,-,343.640.806,67.000.000.000,67.343.640.806,,,343640806.0,67000000000.0,67343640806.0
Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,Phân chia kết quả cho đối tác theo hợp đồng hợp tác kinh doanh,-,-,(592.186.062),-,(592.186.062),,,-592186062.0,,-592186062.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.645.000.000.000,18.687.162,270.155.118.593,67.000.000.000,2.982.173.805.755,2645000000000.0,18687162.0,270155118593.0,67000000000.0,2982173805755.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.645.000.000.000,18.687.162,270.155.118.593,67.000.000.000,2.982.173.805.755,2645000000000.0,18687162.0,270155118593.0,67000000000.0,2982173805755.0
Tăng vốn trong năm nay [1],Tăng vốn trong năm nay [1],Tăng vốn trong năm nay [1],425.000.000.000,138.378.510.000,-,-,563.378.510.000,425000000000.0,138378510000.0,,,563378510000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,363.034.004.476,-,363.034.004.476,,,363034004476.0,,363034004476.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,(105.800.000.000),-,(105.800.000.000),,,-105800000000.0,,-105800000000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,(9.044.614.000),-,(9.044.614.000),,,-9044614000.0,,-9044614000.0
Nhận kinh phí từ Ngân sách,Nhận kinh phí từ Ngân sách,Nhận kinh phí từ Ngân sách,-,-,-,31.000.000.000,31.000.000.000,,,,31000000000.0,31000000000.0
Kết chuyển nguồn vốn đối với công trình đã hoàn thành [2],Kết chuyển nguồn vốn đối với công trình đã hoàn thành [2],Kết chuyển nguồn vốn đối với công trình đã hoàn thành [2],-,-,-,(52.000.000.000),(52.000.000.000),,,,-52000000000.0,-52000000000.0
Điều chỉnh theo Biên bản thanh tra Bộ Tài chính,Điều chỉnh theo Biên bản thanh tra Bộ Tài chính,Điều chỉnh theo Biên bản thanh tra Bộ Tài chính,-,-,2.728.569.178,-,2.728.569.178,,,2728569178.0,,2728569178.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.070.000.000.000,138.397.197.162,521.073.078.247,46.000.000.000,3.775.470.275.409,3070000000000.0,138397197162.0,521073078247.0,46000000000.0,3775470275409.0
