row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,757.110.607.148,-,757.110.607.148,757110607148.0,,757110607148.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2016 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.036.063.627.448,203.186.993.698,1.239.250.621.146,1036063627448.0,203186993698.0,1239250621146.0
Các khoản cho vay,Tại ngày 31/12/2016 > Các khoản cho vay,Các khoản cho vay,15.332.200.216,-,15.332.200.216,15332200216.0,,15332200216.0
Đầu tư dài hạn,Tại ngày 31/12/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,2.391.778.318,2.391.778.318,,2391778318.0,2391778318.0
Cộng,Tại ngày 31/12/2016 > Cộng,Cộng,1.808.506.434.812,205.578.772.016,2.014.085.206.828,1808506434812.0,205578772016.0,2014085206828.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,528.606.364.525,-,528.606.364.525,528606364525.0,,528606364525.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2016 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.142.578.271.864,202.333.413.815,1.344.911.685.679,1142578271864.0,202333413815.0,1344911685679.0
Các khoản cho vay,Tại ngày 01/01/2016 > Các khoản cho vay,Các khoản cho vay,15.390.730.611,-,15.390.730.611,15390730611.0,,15390730611.0
Đầu tư dài hạn,Tại ngày 01/01/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,4.011.778.318,4.011.778.318,,4011778318.0,4011778318.0
Cộng,Tại ngày 01/01/2016 > Cộng,Cộng,1.686.575.367.000,206.345.192.133,1.892.920.559.133,1686575367000.0,206345192133.0,1892920559133.0
