row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm kế toán,"Chi phí đến bù, san lắp mặt bằng",Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm kế toán,"numeric__Chi phí đến bù, san lắp mặt bằng",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.357.345.307,28.446.087.957,100.349.121.061,68545687797.0,3357345307.0,28446087957.0,100349121061.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,345.852.000,-,345.852.000,,345852000.0,,345852000.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,-,-,86.990.905.942,86.990.905.942,,,86990905942.0,86990905942.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.703.197.307,115.436.993.899,187.685.879.003,68545687797.0,3703197307.0,115436993899.0,187685879003.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.969.370.519,2.932.438.609,5.839.873.720,14.741.682.848,5969370519.0,2932438609.0,5839873720.0,14741682848.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,515.531.976,233.707.617,1.945.993.029,2.695.232.622,515531976.0,233707617.0,1945993029.0,2695232622.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,6.484.902.495,3.166.146.226,7.785.866.749,17.436.915.470,6484902495.0,3166146226.0,7785866749.0,17436915470.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,62.576.317.278,424.906.698,22.606.214.237,85.607.438.213,62576317278.0,424906698.0,22606214237.0,85607438213.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,62.060.785.302,537.051.081,107.651.127.150,170.248.963.533,62060785302.0,537051081.0,107651127150.0,170248963533.0
