row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,
Vay và nợ,Tại ngày 31/12/2016 > Vay và nợ,Vay và nợ,363.465.033.516,581.505.071.087,944.970.104.603,363465033516.0,581505071087.0,944970104603.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",778.244.116.424,22.440.801.655,800.684.918.079,778244116424.0,22440801655.0,800684918079.0
Chi phí phải trả,Tại ngày 31/12/2016 > Chi phí phải trả,Chi phí phải trả,629.814.694.282,-,629.814.694.282,629814694282.0,,629814694282.0
Cộng,Tại ngày 31/12/2016 > Cộng,Cộng,1.771.523.844.222,603.945.872.742,2.375.469.716.964,1771523844222.0,603945872742.0,2375469716964.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,
Vay và nợ,Tại ngày 01/01/2016 > Vay và nợ,Vay và nợ,631.258.886.356,317.679.344.357,948.938.230.713,631258886356.0,317679344357.0,948938230713.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",815.319.959.525,16.520.188.209,831.840.147.734,815319959525.0,16520188209.0,831840147734.0
Chi phí phải trả,Tại ngày 01/01/2016 > Chi phí phải trả,Chi phí phải trả,496.903.859.713,-,496.903.859.713,496903859713.0,,496903859713.0
Cộng,Tại ngày 01/01/2016 > Cộng,Cộng,1.943.482.705.594,334.199.532.566,2.277.682.238.160,1943482705594.0,334199532566.0,2277682238160.0
