row_label_raw,row_label_full,a) Tài sản nhận giữ hộ,a) Tài sản nhận giữ hộ_1,a) Tài sản nhận giữ hộ_2,numeric__a) Tài sản nhận giữ hộ_1,numeric__a) Tài sản nhận giữ hộ_2
,,,31/12/2016,01/01/2016,,
,,,VND,VND,,
Kính các loại tại Công ty Kính nổi Viglacera,Kính các loại tại Công ty Kính nổi Viglacera,Kính các loại tại Công ty Kính nổi Viglacera,719.656.650,1.757.391.022,719656650.0,1757391022.0
b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,b) Ngoại tệ các loại,,
,,,31/12/2016,01/01/2016,,
USD,b) Ngoại tệ các loại > USD,USD,"765.678,42","2.756.390,75",765678.42,2756390.75
EUR,b) Ngoại tệ các loại > EUR,EUR,"987,98","1.115,07",987.98,1115.07
GBP,b) Ngoại tệ các loại > GBP,GBP,"437,00","437,00",437.0,437.0
c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,c) Nợ khó đòi đã xử lý,,
,,,31/12/2016,01/01/2016,,
,,,VND,VND,,
Ông Nguyễn Ngọc Hiếu,c) Nợ khó đòi đã xử lý > Ông Nguyễn Ngọc Hiếu,Ông Nguyễn Ngọc Hiếu,65.274.569,65.274.569,65274569.0,65274569.0
Công ty TNHH Việt Hòa An,c) Nợ khó đòi đã xử lý > Công ty TNHH Việt Hòa An,Công ty TNHH Việt Hòa An,60.333.574,60.333.574,60333574.0,60333574.0
Cửa hàng Kinh Doanh số 1,c) Nợ khó đòi đã xử lý > Cửa hàng Kinh Doanh số 1,Cửa hàng Kinh Doanh số 1,86.827.322,86.827.322,86827322.0,86827322.0
Ông Bùi Văn Tính,c) Nợ khó đòi đã xử lý > Ông Bùi Văn Tính,Ông Bùi Văn Tính,32.200.000,32.200.000,32200000.0,32200000.0
Ông Trương Phước Nghĩa,c) Nợ khó đòi đã xử lý > Ông Trương Phước Nghĩa,Ông Trương Phước Nghĩa,43.600.600,43.600.600,43600600.0,43600600.0
Công ty TNHH MTV Dũng Tuấn,c) Nợ khó đòi đã xử lý > Công ty TNHH MTV Dũng Tuấn,Công ty TNHH MTV Dũng Tuấn,71.258.482,71.258.482,71258482.0,71258482.0
Các đối tượng khác,c) Nợ khó đòi đã xử lý > Các đối tượng khác,Các đối tượng khác,1.029.509.622,1.029.509.622,1029509622.0,1029509622.0
