row_label_raw,row_label_full,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty CP Viglacera Hợp Thịnh,Công ty CP Viglacera Hợp Thịnh,Công ty CP Viglacera Hợp Thịnh,Vĩnh Phúc,"11,0%","11,0%",Sản xuất và kinh doanh gạch,,0.11,0.11,
Công ty CP Cầu Xây,Công ty CP Cầu Xây,Công ty CP Cầu Xây,Hà Nội,"6,0%","6,0%",Sản xuất và kinh doanh gạch,,0.06,0.06,
Công ty CP Tư vấn Xây dựng Viglacera Land,Công ty CP Tư vấn Xây dựng Viglacera Land,Công ty CP Tư vấn Xây dựng Viglacera Land,Hà Nội,"10,0%","10,0%","Lập dự án, thiết kế các công trình",,0.1,0.1,
Công ty CP Thủy tinh Gò Vấp,Công ty CP Thủy tinh Gò Vấp,Công ty CP Thủy tinh Gò Vấp,TP Hồ Chí Minh,"2,9%","2,9%",Sản xuất và kinh doanh thủy tinh mỹ nghệ,,0.028999999999999998,0.028999999999999998,
