row_label_raw,row_label_full,col_0,col_1,Mối quan hệ,31/12/2016,01/01/2016,numeric__col_1,numeric__Mối quan hệ,numeric__31/12/2016,numeric__01/01/2016
,,,,Mối quan hệ,VND,VND,,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,198.488.740.438,210.820.864.352,,,198488740438.0,210820864352.0
-,-,-,Công ty CP Viglacera Thăng Long,Công ty con,8.035.130.353,6.304.766.553,,,8035130353.0,6304766553.0
-,-,-,Công ty CP Bao bì và Má Phanh Viglacera,Công ty con,30.126.800,-,,,30126800.0,
-,-,-,Công ty CP Viglacera Bá Hiến,Công ty con,4.932.573.708,4.852.155.708,,,4932573708.0,4852155708.0
-,-,-,Công ty CP Viglacera Từ Liêm,Công ty con,20.000.000,3.719.053.237,,,20000000.0,3719053237.0
-,-,-,Công ty CP Viglacera Đông Anh,Công ty con,1.155.936.400,1.140.096.400,,,1155936400.0,1140096400.0
-,-,-,Công ty CP Tư vấn Viglacera,Công ty con,6.315.514.862,6.776.370.212,,,6315514862.0,6776370212.0
-,-,-,Công ty CP Việt Trì Viglacera,Công ty con,24.518.292.940,35.308.257.234,,,24518292940.0,35308257234.0
-,-,-,Công ty CP Kính Viglacera Đáp Cầu,Công ty con,111.763.155.460,103.456.547.230,,,111763155460.0,103456547230.0
-,-,-,Công ty CP Cơ khí và Xây dựng Viglacera,Công ty con,2.615.454.480,2.602.254.481,,,2615454480.0,2602254481.0
-,-,-,Công ty CP Viglacera Hữu Hưng,Công ty con,2.633.790.853,2.350.173.453,,,2633790853.0,2350173453.0
-,-,-,Công ty CP Viglacera Tiên Sơn,Công ty con,3.217.141.557,2.856.054.081,,,3217141557.0,2856054081.0
-,-,-,Công ty CP Thương mại Viglacera,Công ty con,21.306.970.665,11.096.425.357,,,21306970665.0,11096425357.0
-,-,-,Công ty CP Viglacera Vân Hải,Công ty con,710.950.000,1.360.950.000,,,710950000.0,1360950000.0
-,-,-,Công ty CP Khoáng sản Viglacera,Công ty con,-,393.296.600,,,,393296600.0
-,-,-,Công ty CP Sử Viglacera Thanh Trì,Công ty con,30.000.000,-,,,30000000.0,
-,-,-,Công ty CP Viglacera Hạ Long,Công ty con,151.000.000,87.200.000,,,151000000.0,87200000.0
-,-,-,Công ty CP Viglacera Hà Nội,Công ty con,383.508.696,156.612.456,,,383508696.0,156612456.0
-,-,-,Công ty CP Bê tông khí Viglacera,Công ty con,8.631.516.922,8.491.387.814,,,8631516922.0,8491387814.0
-,-,-,Công ty CP Viglacera Đông Triều,Công ty con,-,11.041.428.614,,,,11041428614.0
-,-,-,Công ty TNHH MTV Lắp dựng kính Viglacera,Công ty con,1.169.529.042,-,,,1169529042.0,
-,-,-,Công ty TNHH Kính nổi Việt Nam,Công ty liên kết,-,503.306.250,,,,503306250.0
-,-,-,Công ty CP Viglacera Từ Sơn,Công ty liên kết,-,175.561.821,,,,175561821.0
-,-,-,Công ty CP Viglacera Hạ Long I,Công ty liên kết,-,453.784.362,,,,453784362.0
-,-,-,Công ty CP Đầu tư và XNKViglacera,Công ty liên kết,-,440.775.600,,,,440775600.0
-,-,-,Công ty CP Vật liệu chịu lửa Viglacera Cầu Dương,Công ty liên kết,-,4.771.692.027,,,,4771692027.0
-,-,-,Công ty CP Vinafacade,Công ty liên kết,868.147.700,1.289.688.500,,,868147700.0,1289688500.0
-,-,-,Công ty CP Viglacera Hợp Thịnh,Đầu tư khác,-,1.193.026.362,,,,1193026362.0
