row_label_raw,row_label_full,col_0,31/12/2016 > Giá trị,31/12/2016 > Dự phòng,01/01/2016 > Giá trị,01/01/2016 > Dự phòng,numeric__31/12/2016 > Giá trị,numeric__31/12/2016 > Dự phòng,numeric__01/01/2016 > Giá trị,numeric__01/01/2016 > Dự phòng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,VND,VND,VND,VND,,,,
Phải thu về cổ phần hóa [1],a) Ngắn hạn > Phải thu về cổ phần hóa [1],Phải thu về cổ phần hóa [1],128.419.510.334,-,105.976.106.748,-,128419510334.0,,105976106748.0,
"Ký cược, ký quỹ","a) Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",1.551.782.680,-,4.229.602.530,-,1551782680.0,,4229602530.0,
Phải thu CBCNV tiền tạm ứng,a) Ngắn hạn > Phải thu CBCNV tiền tạm ứng,Phải thu CBCNV tiền tạm ứng,44.819.283.169,-,36.082.188.932,-,44819283169.0,,36082188932.0,
Phải thu khác,a) Ngắn hạn > Phải thu khác,Phải thu khác,50.741.306.200,(1.101.450.101),30.910.181.908,(1.079.337.051),50741306200.0,-1101450101.0,30910181908.0,-1079337051.0
- Lãi tiền gửi dự thu,a) Ngắn hạn > - Lãi tiền gửi dự thu,- Lãi tiền gửi dự thu,237.807.329,-,631.760.235,-,237807329.0,,631760235.0,
- Thuế giá trị gia tăng chưa kê khai,a) Ngắn hạn > - Thuế giá trị gia tăng chưa kê khai,- Thuế giá trị gia tăng chưa kê khai,270.304.177,-,272.386.859,-,270304177.0,,272386859.0,
- Thuế TNDN tạm nộp hoạt động Bất động sản,a) Ngắn hạn > - Thuế TNDN tạm nộp hoạt động Bất động sản,- Thuế TNDN tạm nộp hoạt động Bất động sản,427.549.196,-,1.841.671.319,-,427549196.0,,1841671319.0,
- Thuế Thu nhập cá nhân phải thu,a) Ngắn hạn > - Thuế Thu nhập cá nhân phải thu,- Thuế Thu nhập cá nhân phải thu,1.085.106.023,-,993.659.008,-,1085106023.0,,993659008.0,
- Phải thu về tiền thoái vốn tại Công ty CP Viglacera Đông Triều [2],a) Ngắn hạn > - Phải thu về tiền thoái vốn tại Công ty CP Viglacera Đông Triều [2],- Phải thu về tiền thoái vốn tại Công ty CP Viglacera Đông Triều [2],27.430.472.879,-,-,-,27430472879.0,,,
