row_label_raw,row_label_full,A7.23. Phải trả hoạt động giao dịch chứng khoán7.23.1.Phải trả cho Sở Giao dịch chứng khoán,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
A7.23. Phải trả hoạt động giao dịch chứng khoán7.23.1.Phải trả cho Sở Giao dịch chứng khoán,A7.23. Phải trả hoạt động giao dịch chứng khoán7.23.1.Phải trả cho Sở Giao dịch chứng khoán,A7.23. Phải trả hoạt động giao dịch chứng khoán7.23.1.Phải trả cho Sở Giao dịch chứng khoán,24.000.000,,24000000.0,
Cộng,Cộng,Cộng,24.000.000,,24000000.0,
"A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",Số cuối năm,Số đầu năm,,
"A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn > A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.24. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",4.063.091.000,3.699.384.000,4063091000.0,3699384000.0
"A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác",Số cuối năm,Số đầu năm,,
"A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác > A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác",11.870.408.380,7.682.403.715,11870408380.0,7682403715.0
"A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác > A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác",4.708.915.113,2.050.528.968,4708915113.0,2050528968.0
"A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác > A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác","A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác",106.018.014,96.318.589,106018014.0,96318589.0
Cộng,"A 7.25. Thuế và các khoản phải nộp Nhà nước- Thuế Thu nhập doanh nghiệp- Thuế Thu nhập cá nhân- Các loại thuế khác- Các khoản phí, lệ phí và các khoản phải nộp khác > Cộng",Cộng,16.685.341.507,9.829.251.272,16685341507.0,9829251272.0
"A.7.26. Chi phí phải trảPhí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản","A.7.26. Chi phí phải trảPhí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản","A.7.26. Chi phí phải trảPhí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản",Số cuối năm,Số đầu năm,,
