row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong kỳ > Năm trước > Tăng,Số tăng/ giảm trong kỳ > Năm trước > Giảm,Số tăng/ giảm trong kỳ > Năm nay > Tăng,Số tăng/ giảm trong kỳ > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong kỳ > Năm trước > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm trước > Giảm,numeric__Số tăng/ giảm trong kỳ > Năm nay > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. Biến động vốn chủ sở hữu > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,1.008.324.800.000,1.105.113.370.000,96.788.570.000,,90.332.342.640,,1.105.113.370.000,1.195.445.712.640,,1008324800000.0,1105113370000.0,96788570000.0,,90332342640.0,,1105113370000.0,1195445712640.0
1.1. Cổ phiếu phổ thông có quyền biểu quyết,I. Biến động vốn chủ sở hữu > 1.1. Cổ phiếu phổ thông có quyền biểu quyết,1.1. Cổ phiếu phổ thông có quyền biểu quyết,,806.648.700.000,903.437.270.000,96.788.570.000,,90.332.250.000,,903.437.270.000,993.769.520.000,,806648700000.0,903437270000.0,96788570000.0,,90332250000.0,,903437270000.0,993769520000.0
1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,
1.3. Thặng dư vốn cổ phần,1.2. Cổ phiếu ưu đãi > 1.3. Thặng dư vốn cổ phần,1.3. Thặng dư vốn cổ phần,,201.676.100.000,201.676.100.000,,,92.640,,201.676.100.000,201.676.192.640,,201676100000.0,201676100000.0,,,92640.0,,201676100000.0,201676192640.0
1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,,,,,,,,,,,,,,,,,,
1.5.Vốn khác của chủ sở hữu,1.5.Vốn khác của chủ sở hữu,1.5.Vốn khác của chủ sở hữu,,,,,,,,,,,,,,,,,,
2. Cổ phiếu quỹ (*),1.5.Vốn khác của chủ sở hữu > 2. Cổ phiếu quỹ (*),2. Cổ phiếu quỹ (*),,,,,,(4.586.400),(1.699.360),,(2.887.040),,,,,,-4586400.0,-1699360.0,,-2887040.0
3. Quỹ dự trữ vốn điều lệ,1.5.Vốn khác của chủ sở hữu > 3. Quỹ dự trữ vốn điều lệ,3. Quỹ dự trữ vốn điều lệ,,34.949.552.941,41.537.764.591,6.588.211.650,,7.328.644.011,,41.537.764.591,48.866.408.602,,34949552941.0,41537764591.0,6588211650.0,,7328644011.0,,41537764591.0,48866408602.0
4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.5.Vốn khác của chủ sở hữu > 4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,34.949.552.941,41.537.764.591,6.588.211.650,,7.328.644.011,,41.537.764.591,48.866.408.602,,34949552941.0,41537764591.0,6588211650.0,,7328644011.0,,41537764591.0,48866408602.0
