row_label_raw,row_label_full,STT,Chi tiết thu nhập khác,Năm 2017,Năm 2016,numeric__Chi tiết thu nhập khác,numeric__Năm 2017,numeric__Năm 2016
1,1,1,Thu nhập từ thanh lý TSCĐ,4.363.634,,,4363634.0,
2,2,2,Doanh thu bán Token card,580.181.990,232.261.713,,580181990.0,232261713.0
3,3,3,Thu nhập từ phí c.tiền của NDT,1.166.875.100,862.122.999,,1166875100.0,862122999.0
4,4,4,Thu nhập khác,15.744.050.900,11.341.516.138,,15744050900.0,11341516138.0
,,,Cộng,17.495.471.624,12.435.900.850,,17495471624.0,12435900850.0
