row_label_raw,row_label_full,Bà Đỗ Thị Hương,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Thành viên,
Ông Tomohiro Yamaguchi,Ông Tomohiro Yamaguchi,Ông Tomohiro Yamaguchi,Thành viên,
