row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Năm 2017,Năm 2016,numeric__Các loại doanh thu hoạt động khác,numeric__Năm 2017,numeric__Năm 2016
1,1,1,Doanh thu đại lý đấu giá,13.323.429,157.656.068,,13323429.0,157656068.0
2,2,2,"Doanh thu từ trả hộ gốc, lãi trái phiếu và cổ tức của TCPH",65.150.000,29.520.155,,65150000.0,29520155.0
3,3,3,Phí quản lý tài sản cầm cố,113.686.200,77.000.000,,113686200.0,77000000.0
4,4,4,Doanh thu khác,1.000.000,300.000,,1000000.0,300000.0
Cộng,Cộng,Cộng,Cộng,193.159.629,264.476.223,,193159629.0,264476223.0
