row_label_raw,row_label_full,STT,Loại doanh thu hoạt động tài chính,Năm 2017,Năm 2016,numeric__Loại doanh thu hoạt động tài chính,numeric__Năm 2017,numeric__Năm 2016
1,1,1,Chênh lệch tỷ giá hối đoái,,,,,
"1,1","1,1","1,1",Chênh lệch lãi tỷ giá hối đoái đã thực hiện,,,,,
"1,2","1,2","1,2",Chênh lệch lãi tỷ giá hối đoái chưa thực hiện,,,,,
2,2,2,"Doanh thu cổ tức từ các khoản đầu tư vào công ty con, công ty liên kết, liên doanh phát sinh trong kỳ",,,,,
3,3,3,"Doanh thu dự thu cổ tức, phát sinh trong kỳ",,,,,
4,3 > 4,4,Doanh thu lãi tiền gửi không kỳ hạn,23.144.067.297,5.924.294.939,,23144067297.0,5924294939.0
5,5,5,Doanh thu hoạt động tài chính khác,,,,,
Cộng,5 > Cộng,Cộng,Cộng,23.144.067.297,5.924.294.939,,23144067297.0,5924294939.0
