row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá thị trường(*),Chênh lệch đánh giá lại kỳ này,Chênh lệch đánh giá lại kỳ trước (**),Chênh lệch điều chỉnh số kế toán kỳ này,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá thị trường(*),numeric__Chênh lệch đánh giá lại kỳ này,numeric__Chênh lệch đánh giá lại kỳ trước (**),numeric__Chênh lệch điều chỉnh số kế toán kỳ này
A,A,A,B,C,D,E=D-C,F,G=E-F,,,,,,
I,A > I,I,Loại FVTPL,16.792.992.188,16.874.544.264,81.552.076,,81.552.076,,16792992188.0,16874544264.0,81552076.0,,81552076.0
1,A > 1,1,"Cổ phiếu niêm yết, đăng ký GD",1.335.200.824,1.416.752.900,81.552.076,,81.552.076,,1335200824.0,1416752900.0,81552076.0,,81552076.0
2,A > 2,2,Cổ phiếu chưa niêm yết,15.457.791.364,15.457.791.364,,,,,15457791364.0,15457791364.0,,,
3,3,3,Trái phiếu niêm yết,,,,,,,,,,,
4,4,4,Trái phiếu chưa niêm yết,,,,,,,,,,,
5,5,5,Công cụ thị trường tiền tệ,,,,,,,,,,,
6,6,6,Các khoản đầu tư phải sinh niêm yết,,,,,,,,,,,
7,7,7,Các khoản đầu tư phải sinh chưa niêm yết,,,,,,,,,,,
8,8,8,Các khoản đầu tư cho vay,,,,,,,,,,,
9,9,9,Các khoản đầu tư đem thế chấp,,,,,,,,,,,
10,10,10,Các khoản đầu tư mua chưa chuyển quyền sở hữu,,,,,,,,,,,
II,II,II,Loại HTM,,,,,,,,,,,
III,III,III,Loại các khoản cho vay và phải thu,,,,,,,,,,,
IV,IV,IV,Loại AFS,,,,,,,,,,,
,,,Cộng,16.792.992.188,16.874.544.264,81.552.076,,81.552.076,,16792992188.0,16874544264.0,81552076.0,,81552076.0
