row_label_raw,row_label_full,STT,Loại chi phí quản lý CTCK,Năm 2017,Năm 2016,numeric__Loại chi phí quản lý CTCK,numeric__Năm 2017,numeric__Năm 2016
1,1,1,Chi phí lương và khác khoản khác theo lương,18.218.025.402,16.362.308.932,,18218025402.0,16362308932.0
,,,Trong đó: CP Lương của Tổng giám đốc,761.400.000,761.400.000,,761400000.0,761400000.0
2,2,2,"BHXH, BHYT, KPCĐ, BHTN",1.452.256.600,1.315.868.800,,1452256600.0,1315868800.0
3,3,3,Chi phí bảo hiểm trách nhiệm nghề nghiệp,,,,,
4,3 > 4,4,Chi phí vật tư văn phòng,2.633.014.172,795.878.436,,2633014172.0,795878436.0
5,5,5,"Chi phí công cụ, dụng cụ",,,,,
6,5 > 6,6,Chi phí khấu hao TSCĐ,10.460.707.580,2.972.141.409,,10460707580.0,2972141409.0
7,5 > 7,7,"Chi phí thuế, phí và lệ phí",26.317.755,8.798.336,,26317755.0,8798336.0
8,8,8,Chi phí dự phòng và hoàn nhập dự phòng,,,,,
9,8 > 9,9,Chi phí dịch vụ mua ngoài,10.314.741.374,13.759.099.872,,10314741374.0,13759099872.0
10,8 > 10,10,Chi phí khác,748.725.484,1.155.890.037,,748725484.0,1155890037.0
,,,Cộng,43.853.788.367,36.369.985.822,,43853788367.0,36369985822.0
