row_label_raw,row_label_full,Tài sān FVTPL,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
"Cổ phiếu niêm yết, đăng ký GD","Cổ phiếu niêm yết, đăng ký GD","Cổ phiếu niêm yết, đăng ký GD",1.335.200.824,1.416.752.900,769.885.523,769.885.523,1335200824.0,1416752900.0,769885523.0,769885523.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,15.457.791.364,15.457.791.364,15.900.592.123,15.900.592.123,15457791364.0,15457791364.0,15900592123.0,15900592123.0
Cộng,Cộng,Cộng,16.792.992.188,16.874.544.264,16.670.477.646,16.670.477.646,16792992188.0,16874544264.0,16670477646.0,16670477646.0
