row_label_raw,row_label_full,A.7.7. Hàng tồn kho- Vật tư văn phòng,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
A.7.7. Hàng tồn kho- Vật tư văn phòng,A.7.7. Hàng tồn kho- Vật tư văn phòng,A.7.7. Hàng tồn kho- Vật tư văn phòng,3.033.473.109,1.338.728.292,3033473109.0,1338728292.0
Cộng,Cộng,Cộng,3.033.473.109,1.338.728.292,3033473109.0,1338728292.0
"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)",Số cuối năm,Số đầu năm,,
"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...) > A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)",1.201.397.994,1.373.630.889,1201397994.0,1373630889.0
"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...) > A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)","A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...)",957.342.406,998.229.290,957342406.0,998229290.0
Cộng,"A.7.8. Chi phí trả trướca. Chi phí trả trước ngắn hạn(bao gồm: CP đường truyền, quản lý thành viên và kết nốihai sở, bảo hành bảo trì phần mềm thiết bị...)b. Chi phí trả trước dài hạn(bao gồm: CP đường truyền, phần mềm kí số, sửa chữa nhà cửa...) > Cộng",Cộng,2.158.740.400,2.371.860.179,2158740400.0,2371860179.0
A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,Số cuối năm,Số đầu năm,,
A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm > A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,120.000.000,120.000.000,120000000.0,120000000.0
A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm > A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,14.482.731.824,13.182.536.382,14482731824.0,13182536382.0
A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm > A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,A.7.9.Tiền nộp Quỹ Hỗ trợ thanh toán- Tiền nộp ban đầu- Tiền nộp bổ sung- Tiền lãi phân bổ trong năm,5.397.268.176,4.393.117.215,5397268176.0,4393117215.0
