row_label_raw,row_label_full,A.7.33 Lợi nhuận chưa phân phối,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
1.Lợi nhuận đã thực hiện chưa phân phối,1.Lợi nhuận đã thực hiện chưa phân phối,1.Lợi nhuận đã thực hiện chưa phân phối,259.540.156.789,245.222.060.591,259540156789.0,245222060591.0
2.Lợi nhuận chưa thực hiện,2.Lợi nhuận chưa thực hiện,2.Lợi nhuận chưa thực hiện,81.552.076,,81552076.0,
Cộng,Cộng,Cộng,259.621.708.865,245.222.060.591,259621708865.0,245222060591.0
A.7.34 Tình hình phân phối thu nhập cho cổ đông hoặc các thành viên góp vốn,A.7.34 Tình hình phân phối thu nhập cho cổ đông hoặc các thành viên góp vốn,A.7.34 Tình hình phân phối thu nhập cho cổ đông hoặc các thành viên góp vốn,Năm 2017,Năm 2016,,
1.Lợi nhuận đã thực hiện chưa phân phối lũy kế,A.7.34 Tình hình phân phối thu nhập cho cổ đông hoặc các thành viên góp vốn > 1.Lợi nhuận đã thực hiện chưa phân phối lũy kế,1.Lợi nhuận đã thực hiện chưa phân phối lũy kế,245.222.060.591,262.123.031.966,245222060591.0,262123031966.0
2.Lỗ chưa thực hiện tính đến cuối năm,2.Lỗ chưa thực hiện tính đến cuối năm,2.Lỗ chưa thực hiện tính đến cuối năm,,,,
3.Lợi nhuận đã thực hiện năm nay,2.Lỗ chưa thực hiện tính đến cuối năm > 3.Lợi nhuận đã thực hiện năm nay,3.Lợi nhuận đã thực hiện năm nay,179.136.785.742,146.572.880.225,179136785742.0,146572880225.0
4.Cơ sở lợi nhuận phân phối cho cổ đông hoặc các thành viên góp vốn (4)=(1+2+3),2.Lỗ chưa thực hiện tính đến cuối năm > 4.Cơ sở lợi nhuận phân phối cho cổ đông hoặc các thành viên góp vốn (4)=(1+2+3),4.Cơ sở lợi nhuận phân phối cho cổ đông hoặc các thành viên góp vốn (4)=(1+2+3),424.358.846.333,408.695.912.191,424358846333.0,408695912191.0
5.Số trích các quỹ từ lợi nhuận,2.Lỗ chưa thực hiện tính đến cuối năm > 5.Số trích các quỹ từ lợi nhuận,5.Số trích các quỹ từ lợi nhuận,29.314.576.044,26.352.846.600,29314576044.0,26352846600.0
5.1 Quỹ dự trữ điều lệ,2.Lỗ chưa thực hiện tính đến cuối năm > 5.1 Quỹ dự trữ điều lệ,5.1 Quỹ dự trữ điều lệ,7.328.644.011,6.588.211.650,7328644011.0,6588211650.0
5.2 Quỹ dự phòng tài chính và rủi ro nghiệp vụ,2.Lỗ chưa thực hiện tính đến cuối năm > 5.2 Quỹ dự phòng tài chính và rủi ro nghiệp vụ,5.2 Quỹ dự phòng tài chính và rủi ro nghiệp vụ,7.328.644.011,6.588.211.650,7328644011.0,6588211650.0
5.3 Qủy khen thưởng phúc lợi,2.Lỗ chưa thực hiện tính đến cuối năm > 5.3 Qủy khen thưởng phúc lợi,5.3 Qủy khen thưởng phúc lợi,14.657.288.022,13.176.423.300,14657288022.0,13176423300.0
6.Số lãi phân phối cho cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết Đại hội đồng cổ đông,2.Lỗ chưa thực hiện tính đến cuối năm > 6.Số lãi phân phối cho cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết Đại hội đồng cổ đông,6.Số lãi phân phối cho cho cổ đông hoặc các thành viên góp vốn trong năm theo Nghị quyết Đại hội đồng cổ đông,135.504.113.500,137.121.005.000,135504113500.0,137121005000.0
