row_label_raw,row_label_full,STT,Loại chi phí,Năm 2017,Năm 2016,numeric__Loại chi phí,numeric__Năm 2017,numeric__Năm 2016
1,1,1,Chi phí nghiệp vụ môi giới chứng khoán,58.746.987.543,44.685.737.600,,58746987543.0,44685737600.0
2,2,2,"Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,,,,
3,3,3,Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,,,,,
4,3 > 4,4,Chi phí nghiệp vụ lưu ký chứng khoán,11.173.532.211,8.131.555.750,,11173532211.0,8131555750.0
5,3 > 5,5,Chi phí hoạt động tư vấn tài chính,7.263.039.228,5.806.236.176,,7263039228.0,5806236176.0
6,6,6,Chi phí các dịch vụ tài chính khác,,,,,
7,7,7,"Chi phí cho thuê, sử dụng tài sản",,,,,
8,8,8,"Chi phí trả hộ gốc, lãi trái phiếu cho Tổ chức phát hành",,,,,
9,9,9,Chi phí dịch vụ khác,,,,,
10,9 > 10,10,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",1.179.176.142,9.995.493.276,,1179176142.0,9995493276.0
Cộng,9 > Cộng,Cộng,Cộng,78.362.735.124,68.619.022.802,,78362735124.0,68619022802.0
