row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (*)","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc (*)","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,111.344.953.976,33.750.924.184,13.191.347.501,158.287.225.661,111344953976.0,33750924184.0,13191347501.0,158287225661.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,7.338.771.150,4.362.560.000,389.049.760,12.090.380.910,7338771150.0,4362560000.0,389049760.0,12090380910.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(2.889.838.961),-,(2.889.838.961),,-2889838961.0,,-2889838961.0
- Chuyển sang hàng hóa bấtđộng sản,Nguyên giá > - Chuyển sang hàng hóa bấtđộng sản,- Chuyển sang hàng hóa bấtđộng sản,(2.314.633.714),-,-,(2.314.633.714),-2314633714.0,,,-2314633714.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.369.091.412,35.223.645.223,13.580.397.261,165.173.133.896,116369091412.0,35223645223.0,13580397261.0,165173133896.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.782.922.836,10.018.259.647,4.095.578.531,17.896.761.014,3782922836.0,10018259647.0,4095578531.0,17896761014.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.518.039.151,3.708.744.278,2.648.616.969,10.875.400.398,4518039151.0,3708744278.0,2648616969.0,10875400398.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.854.723.351),-,(1.854.723.351),,-1854723351.0,,-1854723351.0
- Chuyển sang hàng hóa bấtđộng sản,Giá trị hao mòn lũy kế > - Chuyển sang hàng hóa bấtđộng sản,- Chuyển sang hàng hóa bấtđộng sản,(139.984.510),-,-,(139.984.510),-139984510.0,,,-139984510.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.160.977.477,11.872.280.574,6.744.195.500,26.777.453.551,8160977477.0,11872280574.0,6744195500.0,26777453551.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,107.562.031.140,23.732.664.537,9.095.768.970,140.390.464.647,107562031140.0,23732664537.0,9095768970.0,140390464647.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,108.208.113.935,23.351.364.649,6.836.201.761,138.395.680.345,108208113935.0,23351364649.0,6836201761.0,138395680345.0
