row_label_raw,row_label_full,Ông Nguyễn Trung Vũ,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Phó Chủ tịch,,,
Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,Ông Nguyễn Đức Vui,Ủy viên,,,
Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Bà Nguyễn Thị Hoàng Oanh,Ủy viên,,,
Ông Chu Hữu Chiến,Ông Chu Hữu Chiến,Ông Chu Hữu Chiến,Ủy viên,(Bổ nhiệm ngày 02 tháng 03 năm 2020),,
Ông Nguyễn Thọ Tuyền,Ông Nguyễn Thọ Tuyền,Ông Nguyễn Thọ Tuyền,Ủy viên,(Miễn nhiệm ngày 02 tháng 03 năm 2020),,
