row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,500.000.000.000,375.000.000.000,-,-,34.610.103.952,502.783.283.898,1.412.393.387.850,500000000000.0,375000000000.0,,,34610103952.0,502783283898.0,1412393387850.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,300.000.000.000,(225.000.000.000),-,-,-,(75.000.000.000),-,300000000000.0,-225000000000.0,,,,-75000000000.0,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,370.815.647.916,370.815.647.916,,,,,,370815647916.0,370815647916.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,29.700.427.430,(29.700.427.430),-,,,,,29700427430.0,-29700427430.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(20.790.299.201),(20.790.299.201),,,,,,-20790299201.0,-20790299201.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,-,(1.080.000),-,-,(1.080.000),,,,-1080000.0,,,-1080000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,800.000.000.000,150.000.000.000,-,(1.080.000),64.310.531.382,748.108.205.183,1.762.417.656.565,800000000000.0,150000000000.0,,-1080000.0,64310531382.0,748108205183.0,1762417656565.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,800.000.000.000,150.000.000.000,-,(1.080.000),64.310.531.382,748.108.205.183,1.762.417.656.565,800000000000.0,150000000000.0,,-1080000.0,64310531382.0,748108205183.0,1762417656565.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,245.966.421.775,245.966.421.775,,,,,,245966421775.0,245966421775.0
Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,-,37.081.564.792,(143.038.552.146),(105.956.987.354),,,,,37081564792.0,-143038552146.0,-105956987354.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(18.540.782.396),(18.540.782.396),,,,,,-18540782396.0,-18540782396.0
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,(7.416.312.958),(7.416.312.958),,,,,,-7416312958.0,-7416312958.0
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,-,-,-,-,37.081.564.792,(37.081.564.792),-,,,,,37081564792.0,-37081564792.0,
Chi cổ tức,Chi cổ tức,Chi cổ tức,-,-,-,-,-,(79.999.892.000),(79.999.892.000),,,,,,-79999892000.0,-79999892000.0
Kết chuyển nguồn tăng tài sản cổ định (**),Kết chuyển nguồn tăng tài sản cổ định (**),Kết chuyển nguồn tăng tài sản cổ định (**),-,-,36.000.000.000,-,(36.000.000.000),-,-,,,36000000000.0,,-36000000000.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,800.000.000.000,150.000.000.000,36.000.000.000,(1.080.000),65.392.096.174,851.036.074.812,1.902.427.090.986,800000000000.0,150000000000.0,36000000000.0,-1080000.0,65392096174.0,851036074812.0,1902427090986.0
