row_label_raw,row_label_full,col_0,Giá trị quyền sử dụng đất (*),Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Giá trị quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.096.485.616,873.174.769,374.727.273,9.344.387.658,8096485616.0,873174769.0,374727273.0,9344387658.0
- Đầu tư xây dựng cơ bản,Nguyên giá > - Đầu tư xây dựng cơ bản,- Đầu tư xây dựng cơ bản,-,36.000.000.000,-,36.000.000.000,,36000000000.0,,36000000000.0
- Chuyển sang hàng hóa bất động sản,Nguyên giá > - Chuyển sang hàng hóa bất động sản,- Chuyển sang hàng hóa bất động sản,(216.209.848),-,-,(216.209.848),-216209848.0,,,-216209848.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.880.275.768,36.873.174.769,374.727.273,45.128.177.810,7880275768.0,36873174769.0,374727273.0,45128177810.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,668.955.440,299.593.856,968.549.296,,668955440.0,299593856.0,968549296.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,989.658.000,73.837.241,1.063.495.241,,989658000.0,73837241.0,1063495241.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,1.658.613.440,373.431.097,2.032.044.537,,1658613440.0,373431097.0,2032044537.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,8.096.485.616,204.219.329,75.133.417,8.375.838.362,8096485616.0,204219329.0,75133417.0,8375838362.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.880.275.768,35.214.561.329,1.296.176,43.096.133.273,7880275768.0,35214561329.0,1296176.0,43096133273.0
